User_ID,Product_ID,Category,Final_Price(Rs.),Purchase_Date
U1488,P878,Home & Kitchen,279.77,2024-10-30
U755,P1061,Beauty,479.19,2024-08-11
U1881,P164,Home & Kitchen,315.55,2024-06-03
U243,P837,Books,77.31,2024-10-08
U971,P449,Toys,217.8,2024-04-04
U117,P30,Toys,300.23,2024-08-03
U497,P1010,Electronics,11.86,2024-05-08
U1588,P1141,Toys,29.96,2024-01-11
U1877,P584,Electronics,414.76,2024-06-30
U980,P1016,Toys,234.13,2024-08-25
U1373,P680,Home & Kitchen,133.79,2024-10-04
U887,P638,Books,202.26,2024-10-22
U65,P1370,Electronics,389.4,2024-08-29
U370,P1640,Beauty,272.18,2024-08-10
U1671,P1594,Sports,9.7,2024-08-22
U7,P554,Beauty,239.86,2024-07-24
U310,P1323,Sports,157.62,2024-09-16
U1122,P1357,Clothing,304.09,2024-07-18
U779,P1343,Beauty,112.45,2024-07-07
U1029,P1804,Books,304.65,2024-04-01
U1859,P1461,Sports,295.59,2024-03-09
U187,P918,Sports,284.55,2024-01-29
U1496,P1609,Clothing,113.09,2024-02-27
U1100,P928,Toys,161.81,2024-09-13
U1545,P93,Clothing,138.81,2024-01-28
U488,P432,Toys,15.4,2024-04-28
U1733,P1737,Home & Kitchen,275.34,2024-10-19
U694,P569,Clothing,268.38,2024-04-14
U619,P1090,Books,137.44,2024-09-17
U850,P285,Electronics,74.46,2024-03-11
U1644,P684,Home & Kitchen,232.99,2024-10-17
U1846,P1690,Sports,362.61,2024-11-21
U1594,P1069,Electronics,364.97,2024-01-09
U1516,P619,Home & Kitchen,269.19,2024-09-03
U923,P1042,Toys,340.79,2024-09-04
U87,P901,Home & Kitchen,107.72,2024-06-22
U40,P211,Clothing,28.07,2024-09-18
U1967,P1395,Toys,124.95,2024-06-18
U1710,P246,Books,466.17,2024-03-10
U1128,P496,Toys,238.56,2024-11-11
U333,P1299,Books,229.18,2024-09-11
U239,P668,Books,232.25,2024-09-04
U129,P1187,Books,219.5,2024-02-13
U1568,P1310,Clothing,34.74,2024-03-11
U69,P1479,Clothing,386.91,2024-10-05
U1571,P1654,Toys,281.07,2024-01-31
U1902,P452,Sports,173.95,2024-06-11
U478,P1870,Electronics,151.33,2024-03-27
U1608,P1307,Electronics,77.34,2024-02-20
U501,P1011,Beauty,471.25,2024-01-09
U1292,P370,Sports,303.91,2024-06-15
U1866,P1601,Electronics,133.93,2024-04-24
U874,P1539,Clothing,81.18,2024-01-28
U462,P737,Books,215.72,2024-01-28
U1945,P1041,Home & Kitchen,40.83,2024-09-07
U1955,P484,Sports,182.04,2024-08-23
U800,P1565,Beauty,66.86,2024-04-01
U1607,P631,Clothing,83.63,2024-04-02
U493,P1341,Toys,291.08,2024-06-28
U1210,P225,Beauty,208.78,2024-02-22
U439,P1839,Sports,306.78,2024-01-03
U1411,P764,Toys,244.35,2024-09-05
U1192,P590,Home & Kitchen,14.96,2024-05-01
U427,P606,Home & Kitchen,203.72,2024-01-27
U1035,P1117,Beauty,114.31,2024-05-31
U1375,P1597,Books,94.93,2024-09-01
U1546,P598,Toys,30.92,2024-04-19
U756,P1603,Sports,372.27,2024-07-30
U264,P1598,Toys,74.98,2024-04-29
U79,P563,Electronics,288.6,2024-10-07
U1129,P1980,Toys,188.88,2024-05-25
U1722,P443,Home & Kitchen,285.18,2024-05-24
U1464,P883,Books,187.86,2024-02-24
U637,P67,Sports,220.25,2024-09-24
U1725,P86,Beauty,124.56,2024-04-16
U1418,P1976,Beauty,236.7,2024-09-16
U604,P385,Clothing,278.01,2024-10-11
U1506,P1763,Beauty,211.61,2024-04-14
U514,P826,Sports,61.85,2024-10-12
U163,P848,Electronics,43.72,2024-11-18
U1082,P1656,Electronics,361.04,2024-06-12
U1395,P163,Sports,320.09,2024-03-15
U672,P1927,Toys,36.21,2024-05-21
U341,P754,Toys,311.15,2024-05-21
U1127,P198,Sports,68.78,2024-05-14
U70,P1786,Home & Kitchen,414.8,2024-05-18
U487,P1694,Home & Kitchen,394.11,2024-07-07
U420,P1678,Sports,65.21,2024-08-05
U206,P499,Beauty,354.15,2024-07-05
U1259,P665,Toys,77.88,2024-07-22
U343,P538,Clothing,179.18,2024-04-17
U968,P760,Beauty,470.33,2024-04-12
U640,P1920,Toys,49.98,2024-06-02
U380,P293,Home & Kitchen,254.14,2024-02-10
U1222,P28,Beauty,26.57,2024-03-14
U867,P468,Books,112.59,2024-04-11
U984,P1727,Clothing,320.14,2024-05-07
U1057,P1383,Beauty,428.47,2024-03-15
U1453,P420,Beauty,370.33,2024-07-02
U332,P278,Electronics,328.08,2024-05-08
U1303,P1956,Clothing,233.25,2024-07-31
U1244,P1753,Toys,201.37,2024-05-09
U592,P1541,Toys,166.91,2024-06-12
U1620,P1002,Electronics,254.03,2024-04-19
U1880,P212,Home & Kitchen,193.26,2024-09-23
U1567,P1583,Books,85.81,2024-02-21
U1382,P1762,Electronics,326.01,2024-10-11
U765,P951,Electronics,147.71,2024-06-09
U1942,P149,Clothing,390.2,2024-02-02
U1805,P1271,Home & Kitchen,203.03,2024-03-24
U1735,P1929,Books,255.0,2024-03-10
U346,P1025,Beauty,189.32,2024-11-17
U1958,P1372,Home & Kitchen,228.38,2024-06-01
U1581,P271,Toys,445.01,2024-08-18
U624,P635,Clothing,229.67,2024-04-10
U461,P178,Clothing,378.27,2024-03-29
U553,P1612,Clothing,18.83,2024-07-11
U111,P477,Clothing,345.22,2024-06-07
U300,P127,Sports,35.37,2024-11-05
U246,P783,Toys,130.78,2024-07-20
U1061,P1643,Electronics,238.75,2024-06-28
U1808,P566,Sports,36.22,2024-09-15
U1540,P1366,Sports,378.9,2024-07-03
U1250,P409,Books,295.41,2024-06-07
U1894,P834,Toys,208.84,2024-10-13
U1807,P517,Electronics,205.98,2024-05-10
U578,P1237,Clothing,284.14,2024-05-07
U1184,P1932,Books,74.11,2024-08-22
U231,P1275,Home & Kitchen,137.56,2024-08-25
U675,P139,Home & Kitchen,169.48,2024-05-28
U1950,P1482,Sports,248.7,2024-08-08
U627,P1730,Beauty,350.3,2024-02-26
U1481,P1463,Home & Kitchen,260.82,2024-02-05
U709,P1958,Beauty,335.2,2024-03-06
U460,P1109,Home & Kitchen,367.22,2024-08-11
U1143,P740,Beauty,340.19,2024-07-26
U43,P1759,Sports,134.94,2024-08-06
U22,P1611,Beauty,229.4,2024-06-25
U1527,P1620,Home & Kitchen,331.26,2024-04-03
U356,P622,Clothing,421.65,2024-10-20
U1795,P222,Books,207.1,2024-10-29
U573,P900,Home & Kitchen,430.43,2024-10-02
U1110,P586,Sports,127.28,2024-07-08
U384,P1817,Clothing,315.8,2024-11-20
U1048,P1457,Home & Kitchen,115.75,2024-08-04
U1890,P84,Home & Kitchen,148.0,2024-08-22
U285,P916,Toys,216.58,2024-08-06
U591,P1183,Home & Kitchen,208.98,2024-11-13
U1094,P90,Home & Kitchen,167.44,2024-11-14
U570,P310,Beauty,266.2,2024-11-14
U1893,P111,Home & Kitchen,84.77,2024-03-06
U1239,P726,Clothing,332.57,2024-02-18
U504,P1944,Toys,358.97,2024-09-23
U884,P1787,Home & Kitchen,180.6,2024-09-24
U1879,P1023,Books,325.19,2024-01-14
U338,P230,Home & Kitchen,18.67,2024-09-01
U933,P382,Electronics,11.91,2024-05-24
U507,P871,Electronics,17.07,2024-03-09
U1792,P1761,Home & Kitchen,9.47,2024-03-19
U348,P591,Home & Kitchen,206.97,2024-10-25
U261,P1088,Home & Kitchen,176.54,2024-08-23
U1231,P1679,Sports,50.52,2024-11-10
U1820,P1122,Books,142.44,2024-04-30
U880,P125,Clothing,172.89,2024-05-11
U924,P176,Books,294.6,2024-11-16
U626,P1108,Books,261.75,2024-11-02
U465,P126,Sports,219.72,2024-11-08
U781,P1416,Electronics,369.15,2024-06-19
U732,P284,Clothing,80.05,2024-10-16
U949,P1731,Books,191.81,2024-06-04
U1544,P187,Sports,308.52,2024-09-11
U425,P1608,Electronics,237.63,2024-05-25
U153,P955,Beauty,179.89,2024-01-20
U1560,P575,Home & Kitchen,272.89,2024-07-20
U1406,P368,Sports,302.08,2024-07-23
U331,P316,Home & Kitchen,115.54,2024-11-12
U464,P300,Books,163.61,2024-06-05
U1701,P217,Home & Kitchen,85.07,2024-04-11
U736,P571,Electronics,202.46,2024-10-22
U666,P103,Toys,260.66,2024-07-28
U1234,P1914,Beauty,123.4,2024-04-21
U1220,P1378,Home & Kitchen,39.14,2024-07-15
U1059,P1692,Clothing,176.87,2024-11-15
U463,P535,Sports,91.87,2024-06-17
U1413,P88,Toys,344.13,2024-01-31
U1242,P536,Sports,323.99,2024-01-06
U673,P1862,Home & Kitchen,378.22,2024-03-29
U1796,P353,Sports,236.59,2024-10-24
U1065,P1241,Books,153.8,2024-08-13
U746,P1204,Beauty,388.57,2024-06-07
U477,P1549,Sports,75.85,2024-09-23
U1040,P455,Books,151.87,2024-03-08
U49,P161,Sports,311.44,2024-09-12
U840,P1046,Clothing,46.52,2024-05-15
U132,P152,Toys,378.25,2024-04-19
U1804,P661,Sports,261.21,2024-05-27
U1340,P1319,Toys,349.58,2024-02-11
U1634,P1937,Toys,212.07,2024-09-06
U1936,P194,Clothing,251.66,2024-05-12
U456,P509,Toys,140.4,2024-05-28
U605,P1105,Home & Kitchen,220.51,2024-08-27
U929,P747,Sports,177.59,2024-06-23
U1004,P799,Sports,395.46,2024-04-03
U225,P1566,Toys,126.66,2024-05-19
U1346,P1236,Beauty,189.34,2024-08-31
U399,P976,Electronics,129.31,2024-08-02
U1650,P581,Home & Kitchen,266.36,2024-07-28
U376,P1494,Electronics,217.73,2024-04-27
U1878,P1951,Beauty,71.34,2024-09-10
U691,P1321,Books,354.11,2024-06-29
U244,P1368,Books,147.52,2024-09-22
U78,P610,Clothing,322.58,2024-02-17
U1515,P57,Beauty,39.69,2024-04-17
U547,P228,Clothing,276.68,2024-11-10
U747,P1913,Books,354.74,2024-11-02
U452,P340,Home & Kitchen,418.1,2024-09-19
U1182,P599,Books,66.16,2024-10-10
U1140,P1120,Beauty,104.7,2024-10-31
U1749,P1447,Toys,289.32,2024-03-07
U603,P1080,Sports,195.53,2024-10-07
U1456,P415,Home & Kitchen,77.51,2024-11-21
U946,P1499,Toys,410.5,2024-06-07
U1121,P315,Sports,356.34,2024-10-26
U232,P1677,Electronics,66.28,2024-06-17
U1939,P744,Beauty,366.32,2024-09-10
U101,P1261,Home & Kitchen,300.78,2024-02-07
U1319,P839,Books,324.09,2024-10-05
U1883,P1169,Toys,58.3,2024-02-14
U1432,P379,Beauty,28.25,2024-04-07
U1363,P600,Books,412.25,2024-11-17
U1493,P1697,Home & Kitchen,214.45,2024-04-14
U1778,P997,Beauty,315.89,2024-01-02
U1412,P981,Books,105.83,2024-05-07
U254,P308,Toys,343.52,2024-07-01
U265,P1466,Toys,399.84,2024-02-26
U905,P773,Sports,220.15,2024-08-23
U1116,P1773,Books,311.41,2024-03-09
U250,P144,Books,207.97,2024-01-31
U429,P1297,Beauty,25.91,2024-05-11
U1509,P1213,Toys,247.7,2024-09-20
U654,P214,Electronics,446.14,2024-01-03
U549,P1280,Beauty,130.1,2024-08-08
U1321,P1520,Home & Kitchen,233.68,2024-07-11
U1695,P1845,Toys,35.51,2024-11-17
U935,P1996,Sports,187.16,2024-01-07
U998,P245,Books,49.46,2024-01-21
U681,P1242,Home & Kitchen,171.71,2024-08-05
U476,P1001,Books,187.65,2024-03-14
U317,P1137,Toys,204.56,2024-03-06
U1785,P185,Beauty,66.67,2024-08-24
U737,P23,Home & Kitchen,105.98,2024-05-01
U1832,P1745,Books,317.82,2024-11-13
U1249,P1089,Electronics,280.16,2024-10-12
U167,P1404,Electronics,59.92,2024-01-24
U457,P434,Electronics,121.84,2024-01-05
U1769,P1265,Clothing,59.74,2024-05-21
U1580,P1865,Electronics,368.63,2024-07-07
U1673,P768,Sports,28.12,2024-03-17
U1742,P1653,Books,95.65,2024-06-12
U413,P1486,Books,373.84,2024-05-25
U1007,P1227,Sports,176.3,2024-02-05
U378,P1596,Home & Kitchen,219.91,2024-09-29
U309,P711,Clothing,395.07,2024-10-18
U725,P283,Clothing,150.2,2024-01-09
U1593,P201,Books,222.28,2024-09-07
U1819,P654,Clothing,96.67,2024-06-24
U1230,P1007,Beauty,46.12,2024-10-12
U1042,P1440,Beauty,27.14,2024-03-14
U54,P264,Home & Kitchen,9.39,2024-10-04
U1338,P771,Beauty,35.24,2024-03-10
U1297,P1402,Beauty,205.3,2024-07-27
U345,P1939,Sports,377.59,2024-06-17
U1360,P1130,Electronics,135.08,2024-02-13
U61,P227,Books,129.08,2024-07-01
U417,P1157,Books,418.54,2024-08-05
U1263,P767,Toys,103.11,2024-09-03
U586,P1574,Electronics,409.6,2024-05-30
U474,P63,Home & Kitchen,142.07,2024-05-17
U540,P1798,Electronics,310.13,2024-01-27
U1288,P745,Electronics,117.67,2024-06-20
U668,P1758,Beauty,12.38,2024-01-14
U1044,P902,Electronics,423.81,2024-02-20
U1513,P886,Books,237.27,2024-11-13
U1730,P457,Books,144.13,2024-03-23
U803,P514,Books,13.94,2024-04-24
U768,P177,Sports,21.56,2024-03-08
U1526,P1485,Sports,292.14,2024-02-17
U1283,P1151,Clothing,186.79,2024-06-26
U687,P1709,Home & Kitchen,92.56,2024-05-05
U383,P728,Sports,398.36,2024-03-26
U392,P81,Sports,297.93,2024-01-12
U67,P1136,Books,459.93,2024-06-19
U1058,P852,Toys,243.7,2024-02-29
U1583,P60,Toys,410.96,2024-09-12
U1823,P1128,Books,214.78,2024-03-18
U482,P244,Sports,461.84,2024-06-25
U797,P1477,Clothing,44.29,2024-10-08
U898,P276,Sports,361.15,2024-08-21
U475,P389,Toys,343.46,2024-07-01
U1688,P897,Sports,50.65,2024-06-12
U1443,P320,Electronics,254.31,2024-04-05
U692,P73,Home & Kitchen,130.03,2024-06-18
U576,P333,Electronics,169.29,2024-03-20
U1187,P1289,Electronics,346.24,2024-03-08
U93,P221,Toys,448.53,2024-06-23
U752,P1222,Beauty,128.28,2024-10-07
U770,P1858,Beauty,300.7,2024-02-05
U1469,P1799,Toys,36.75,2024-09-11
U639,P1055,Electronics,30.87,2024-11-12
U728,P1814,Sports,90.79,2024-09-13
U1342,P1210,Sports,100.26,2024-01-14
U1170,P209,Clothing,32.89,2024-11-12
U1952,P946,Electronics,137.25,2024-07-26
U72,P1680,Clothing,152.38,2024-04-11
U1097,P1509,Toys,70.66,2024-04-06
U559,P1125,Electronics,250.46,2024-10-19
U1812,P1133,Home & Kitchen,222.83,2024-01-14
U643,P1793,Books,128.68,2024-11-13
U1194,P1517,Books,286.33,2024-03-17
U665,P1115,Sports,302.79,2024-05-17
U1435,P1683,Books,347.69,2024-04-16
U1993,P131,Toys,124.96,2024-11-09
U1300,P1751,Clothing,32.29,2024-10-13
U1084,P921,Home & Kitchen,250.23,2024-02-14
U1678,P1698,Beauty,342.94,2024-10-07
U1142,P1544,Toys,51.1,2024-03-11
U608,P1852,Sports,21.39,2024-06-02
U247,P1835,Clothing,310.25,2024-08-01
U1337,P1039,Clothing,262.79,2024-02-27
U1972,P288,Sports,173.94,2024-03-11
U1163,P470,Electronics,236.76,2024-10-15
U865,P1174,Clothing,204.91,2024-09-16
U1501,P1376,Electronics,343.64,2024-08-02
U1325,P286,Clothing,34.66,2024-09-23
U469,P532,Beauty,15.56,2024-08-16
U577,P797,Sports,169.19,2024-09-11
U934,P656,Toys,295.48,2024-08-30
U973,P1550,Books,46.1,2024-09-12
U1959,P1647,Home & Kitchen,81.0,2024-03-21
U1041,P204,Toys,467.24,2024-08-09
U156,P1740,Sports,163.51,2024-02-21
U1961,P52,Clothing,133.94,2024-07-16
U1761,P971,Electronics,138.46,2024-05-22
U17,P1422,Clothing,144.32,2024-06-12
U409,P1263,Electronics,122.66,2024-03-03
U1227,P419,Beauty,200.26,2024-06-05
U368,P1351,Beauty,146.92,2024-02-29
U912,P1616,Toys,408.73,2024-11-13
U1492,P812,Home & Kitchen,65.7,2024-05-16
U1533,P114,Beauty,156.61,2024-07-31
U761,P614,Clothing,425.81,2024-11-11
U1798,P1662,Clothing,450.9,2024-04-18
U745,P1825,Books,316.13,2024-11-20
U1193,P1264,Clothing,350.6,2024-08-07
U638,P1666,Sports,177.11,2024-05-28
U1685,P510,Clothing,47.18,2024-01-17
U385,P1831,Sports,181.69,2024-05-17
U248,P556,Sports,116.06,2024-10-17
U1907,P1172,Home & Kitchen,256.86,2024-07-08
U347,P1268,Books,388.32,2024-11-02
U441,P1098,Clothing,97.28,2024-05-18
U229,P1522,Clothing,385.3,2024-05-06
U1758,P1816,Electronics,112.0,2024-06-12
U1106,P880,Books,444.98,2024-03-22
U1658,P110,Beauty,170.23,2024-10-21
U1,P1652,Electronics,330.38,2024-10-06
U1045,P774,Electronics,245.58,2024-03-07
U614,P1333,Books,407.59,2024-09-25
U892,P1947,Sports,359.28,2024-02-02
U518,P1985,Toys,315.36,2024-10-11
U607,P1158,Clothing,320.83,2024-05-26
U952,P899,Clothing,266.57,2024-09-08
U786,P182,Sports,125.2,2024-01-13
U1472,P1506,Beauty,193.56,2024-06-19
U1123,P1364,Sports,61.98,2024-01-17
U1687,P761,Books,249.43,2024-07-15
U1475,P1294,Electronics,90.81,2024-10-24
U1835,P118,Beauty,86.1,2024-02-23
U1549,P937,Sports,299.77,2024-07-04
U1076,P1123,Books,163.52,2024-02-09
U161,P1504,Clothing,117.73,2024-02-20
U1491,P1219,Sports,252.62,2024-09-23
U1102,P1802,Toys,121.94,2024-04-02
U1841,P1429,Home & Kitchen,236.96,2024-01-13
U1043,P249,Beauty,74.66,2024-06-23
U623,P1379,Sports,79.14,2024-10-04
U1096,P1861,Books,268.14,2024-06-02
U175,P1532,Sports,244.71,2024-08-20
U733,P1254,Home & Kitchen,210.4,2024-05-23
U1071,P980,Books,79.38,2024-02-28
U115,P1516,Electronics,280.2,2024-07-28
U1410,P555,Beauty,180.13,2024-11-06
U568,P472,Home & Kitchen,330.18,2024-04-19
U1853,P1358,Electronics,214.72,2024-08-04
U1466,P611,Toys,295.93,2024-01-10
U453,P1886,Books,176.6,2024-03-12
U1213,P1518,Beauty,228.74,2024-07-04
U886,P1371,Home & Kitchen,257.52,2024-07-09
U1357,P83,Beauty,88.28,2024-08-11
U39,P1748,Clothing,164.39,2024-07-25
U938,P1511,Home & Kitchen,96.42,2024-08-23
U245,P1503,Beauty,415.02,2024-02-11
U621,P13,Sports,215.91,2024-09-28
U831,P317,Sports,73.64,2024-06-05
U1162,P1655,Books,282.89,2024-04-26
U1415,P1049,Toys,32.07,2024-04-27
U411,P1575,Books,204.57,2024-03-25
U520,P628,Toys,105.46,2024-03-07
U816,P1866,Beauty,428.66,2024-03-29
U1732,P1938,Beauty,267.98,2024-01-08
U631,P156,Sports,106.5,2024-01-08
U822,P280,Home & Kitchen,450.17,2024-03-21
U1780,P835,Home & Kitchen,125.99,2024-07-31
U1245,P1553,Beauty,259.12,2024-03-27
U1912,P143,Beauty,367.11,2024-02-03
U1522,P763,Clothing,76.69,2024-07-02
U942,P428,Electronics,186.63,2024-02-12
U1442,P439,Books,18.7,2024-06-05
U198,P1579,Electronics,191.54,2024-08-07
U294,P1452,Sports,355.47,2024-04-03
U414,P608,Beauty,295.32,2024-05-22
U979,P1285,Clothing,190.6,2024-03-31
U394,P1767,Home & Kitchen,35.59,2024-05-22
U1183,P1665,Home & Kitchen,362.82,2024-04-05
U1934,P166,Clothing,303.16,2024-11-21
U470,P153,Sports,321.66,2024-05-08
U908,P1363,Home & Kitchen,408.29,2024-07-19
U1822,P632,Home & Kitchen,372.65,2024-01-16
U308,P794,Home & Kitchen,127.44,2024-04-30
U280,P1270,Beauty,240.86,2024-04-17
U1016,P318,Books,59.8,2024-08-06
U274,P498,Toys,258.42,2024-09-13
U1394,P829,Books,177.28,2024-03-10
U1740,P739,Clothing,315.96,2024-08-14
U918,P855,Books,245.53,2024-04-12
U1739,P1684,Home & Kitchen,217.87,2024-07-23
U854,P462,Beauty,379.89,2024-11-06
U277,P232,Clothing,401.0,2024-10-06
U304,P165,Electronics,315.88,2024-06-10
U839,P132,Toys,160.09,2024-04-03
U991,P1446,Home & Kitchen,190.96,2024-05-08
U1892,P1856,Electronics,145.47,2024-04-21
U202,P1456,Clothing,122.36,2024-09-02
U1502,P1339,Sports,52.25,2024-11-17
U1246,P528,Sports,183.9,2024-08-08
U116,P1964,Books,362.33,2024-09-20
U995,P376,Electronics,332.42,2024-09-23
U282,P1114,Electronics,384.61,2024-02-29
U1425,P1346,Clothing,162.55,2024-03-12
U1398,P623,Electronics,315.45,2024-05-30
U999,P732,Beauty,101.41,2024-01-19
U978,P1548,Toys,120.88,2024-01-15
U1313,P458,Toys,19.29,2024-06-05
U313,P1934,Toys,189.3,2024-09-29
U1149,P1556,Sports,250.72,2024-08-18
U388,P1702,Books,285.21,2024-04-23
U13,P908,Electronics,393.25,2024-10-18
U1099,P1534,Toys,146.19,2024-10-18
U1911,P467,Sports,63.8,2024-09-12
U1348,P1717,Sports,393.12,2024-08-31
U636,P1617,Sports,116.03,2024-05-08
U1559,P5,Toys,215.4,2024-04-03
U270,P1635,Books,208.71,2024-09-17
U365,P626,Toys,287.77,2024-06-19
U252,P741,Clothing,76.31,2024-05-15
U1709,P643,Toys,70.62,2024-09-24
U484,P1567,Electronics,356.84,2024-04-09
U1909,P307,Clothing,389.67,2024-06-04
U629,P1057,Electronics,340.9,2024-04-05
U609,P1811,Electronics,471.92,2024-03-10
U1351,P1673,Electronics,93.49,2024-06-18
U1666,P1846,Books,317.56,2024-06-04
U1723,P1103,Home & Kitchen,47.54,2024-11-18
U1916,P1437,Clothing,11.52,2024-05-21
U1273,P588,Beauty,115.13,2024-08-26
U759,P24,Sports,190.26,2024-01-15
U808,P191,Books,293.43,2024-03-22
U1027,P1622,Home & Kitchen,179.19,2024-11-12
U550,P1,Books,95.05,2024-07-13
U325,P1542,Beauty,239.25,2024-01-23
U556,P984,Toys,337.95,2024-07-01
U947,P461,Toys,194.27,2024-02-24
U1066,P1134,Electronics,346.42,2024-02-22
U26,P480,Books,33.15,2024-09-16
U1172,P1589,Home & Kitchen,92.09,2024-01-09
U1827,P1580,Home & Kitchen,47.33,2024-03-25
U1179,P1396,Toys,386.19,2024-03-08
U1320,P1470,Toys,280.17,2024-07-07
U352,P1626,Clothing,195.08,2024-10-14
U1987,P675,Books,424.13,2024-10-15
U127,P1471,Toys,70.01,2024-01-05
U329,P98,Clothing,101.53,2024-09-07
U618,P658,Toys,245.57,2024-05-29
U155,P1590,Books,38.72,2024-01-18
U696,P1177,Toys,312.22,2024-09-09
U377,P272,Books,108.97,2024-09-30
U209,P159,Toys,84.73,2024-11-02
U363,P1982,Toys,177.54,2024-08-21
U1205,P596,Toys,285.42,2024-03-22
U1565,P1739,Sports,216.94,2024-08-22
U393,P1810,Books,280.44,2024-03-15
U1294,P844,Books,188.78,2024-08-25
U148,P1094,Beauty,324.98,2024-09-09
U1891,P968,Beauty,183.27,2024-03-01
U1226,P87,Books,317.6,2024-02-02
U1631,P430,Clothing,343.38,2024-09-08
U369,P1316,Beauty,16.52,2024-07-30
U717,P205,Toys,211.31,2024-10-21
U142,P1020,Toys,211.91,2024-05-24
U1089,P1918,Beauty,71.26,2024-09-03
U1235,P1253,Books,332.89,2024-07-25
U919,P1473,Clothing,228.77,2024-07-29
U1577,P1531,Beauty,305.3,2024-08-14
U1277,P380,Toys,265.75,2024-11-04
U1489,P697,Toys,352.22,2024-04-01
U590,P1595,Toys,358.89,2024-01-18
U1556,P1248,Home & Kitchen,393.59,2024-04-06
U1018,P423,Clothing,7.33,2024-05-15
U1064,P1859,Clothing,336.74,2024-08-08
U1417,P1092,Beauty,281.07,2024-05-27
U538,P929,Books,348.78,2024-09-26
U437,P540,Electronics,48.47,2024-08-15
U1865,P1195,Home & Kitchen,310.59,2024-09-26
U1196,P1754,Sports,120.25,2024-01-06
U1767,P466,Electronics,159.65,2024-07-22
U1940,P640,Home & Kitchen,331.21,2024-09-23
U945,P750,Electronics,182.93,2024-04-23
U1221,P1197,Home & Kitchen,315.86,2024-09-17
U1920,P1719,Clothing,171.06,2024-03-20
U431,P1752,Home & Kitchen,454.69,2024-03-09
U950,P1394,Sports,274.24,2024-05-23
U1323,P1386,Beauty,97.3,2024-11-19
U1858,P188,Electronics,72.78,2024-02-20
U809,P1132,Toys,149.93,2024-02-10
U1705,P718,Books,157.81,2024-06-03
U1956,P1879,Books,106.65,2024-09-22
U612,P679,Sports,221.24,2024-01-04
U750,P487,Clothing,210.88,2024-03-21
U66,P1153,Sports,274.08,2024-02-04
U1305,P229,Beauty,285.38,2024-08-07
U1153,P213,Electronics,435.45,2024-01-14
U42,P822,Books,191.44,2024-11-03
U405,P1225,Sports,107.19,2024-08-24
U1601,P1708,Electronics,152.66,2024-03-12
U1627,P116,Electronics,71.16,2024-08-01
U483,P1034,Books,387.91,2024-05-01
U676,P91,Home & Kitchen,388.66,2024-07-18
U489,P1087,Books,200.74,2024-02-29
U1353,P1027,Electronics,239.66,2024-09-21
U833,P267,Clothing,112.77,2024-10-20
U424,P927,Toys,106.73,2024-02-22
U1314,P1760,Books,153.45,2024-10-22
U1943,P336,Electronics,258.92,2024-02-13
U729,P436,Toys,216.75,2024-05-28
U569,P924,Electronics,34.01,2024-05-08
U710,P1901,Books,50.12,2024-05-31
U1203,P1353,Beauty,453.66,2024-07-29
U468,P180,Toys,361.39,2024-09-14
