Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day
545-46-3100,Faisalabad,Member,Female,Electronic accessories,10.59,3,1.5885,0.02197735111870822,2019-03-12,13:52,1,31.77,4.761904762,1.5885,8.7,2019,3,12
364-34-2972,Islamabad,Member,Male,Electronic accessories,96.82,3,14.523,0.2851866548640151,2019-03-30,20:37,0,290.46,4.761904762,14.523,6.7,2019,3,30
286-43-6208,Islamabad,Normal,Female,Food and beverages,87.8,9,39.51,0.7936570922743506,2019-03-16,19:08,0,790.2,4.761904762,39.51,9.2,2019,3,16
442-48-3607,Rawalpindi,Member,Male,Food and beverages,23.48,2,2.348,0.03743271979894794,2019-03-14,11:21,1,46.96,4.761904762,2.348,7.9,2019,3,14
123-19-1176,Rawalpindi,Member,Male,Health and beauty,58.22,8,23.288,0.4635491387116795,2019-01-27,20:33,2,465.76,4.761904762,23.288,8.4,2019,1,27
394-43-4238,Faisalabad,Member,Male,Home and lifestyle,17.77,5,4.4425,0.08005453638981308,2019-02-15,12:42,1,88.85,4.761904762,4.4425,5.4,2019,2,15
503-07-0930,Islamabad,Member,Male,Sports and travel,58.39,7,20.4365,0.4055228269385346,2019-02-23,19:49,1,408.73,4.761904762,20.4365,8.2,2019,2,23
401-09-4232,Islamabad,Member,Male,Home and lifestyle,86.69,5,21.6725,0.43067468432994516,2019-02-11,18:38,2,433.45,4.761904762,21.6725,9.4,2019,2,11
286-01-5402,Rawalpindi,Normal,Female,Sports and travel,40.23,7,14.0805,0.2761820457250999,2019-03-30,13:22,0,281.61,4.761904762,14.0805,9.6,2019,3,30
861-77-0145,Islamabad,Member,Male,Electronic accessories,81.97,10,40.985,0.8236724560707344,2019-03-03,14:30,0,819.7,4.761904762,40.985,9.2,2019,3,3
286-75-7818,Faisalabad,Normal,Male,Fashion accessories,69.08,2,6.908,0.1302259800779382,2019-01-31,19:48,1,138.16,4.761904762,6.908,6.9,2019,1,31
381-20-0914,Rawalpindi,Member,Female,Fashion accessories,20.01,9,9.0045,0.17288849546717133,2019-01-12,15:48,1,180.09,4.761904762,9.0045,5.7,2019,1,12
360-39-5055,Islamabad,Member,Male,Sports and travel,48.91,5,12.2275,0.23847460903716813,2019-03-09,10:17,0,244.55,4.761904762,12.2275,6.6,2019,3,9
593-95-4461,Islamabad,Member,Male,Home and lifestyle,74.86,1,3.743,0.06582013166061271,2019-03-24,14:49,0,74.86,4.761904762,3.743,6.9,2019,3,24
480-63-2856,Islamabad,Normal,Male,Food and beverages,19.25,8,7.7,0.14634270423165754,2019-01-23,18:37,2,154.0,4.761904762,7.7,6.6,2019,1,23
602-16-6955,Faisalabad,Normal,Female,Sports and travel,76.6,10,38.3,0.7690343192617236,2019-01-24,18:10,2,766.0,4.761904762,38.3,6.0,2019,1,24
497-37-6538,Rawalpindi,Normal,Male,Sports and travel,58.91,7,20.6185,0.4092264175900206,2019-01-17,15:15,2,412.37,4.761904762,20.6185,9.7,2019,1,17
811-35-1094,Faisalabad,Member,Male,Electronic accessories,50.45,6,15.135,0.29764048716461644,2019-02-06,15:16,1,302.7,4.761904762,15.135,8.9,2019,2,6
793-10-3222,Faisalabad,Member,Female,Health and beauty,41.06,6,12.318,0.24031622966331917,2019-03-05,13:30,1,246.36,4.761904762,12.318,8.3,2019,3,5
563-91-7120,Rawalpindi,Normal,Female,Fashion accessories,61.77,5,15.4425,0.3038979274136931,2019-03-08,13:21,0,308.85,4.761904762,15.4425,6.7,2019,3,8
600-38-9738,Islamabad,Member,Male,Sports and travel,71.92,5,17.98,0.3555345278430654,2019-01-17,15:05,1,359.6,4.761904762,17.98,4.3,2019,1,17
722-13-2115,Islamabad,Member,Male,Sports and travel,42.85,1,2.1425,0.033250918266638174,2019-03-14,15:36,1,42.85,4.761904762,2.1425,9.3,2019,3,14
838-02-1821,Islamabad,Member,Female,Home and lifestyle,12.73,2,1.273,0.015557115676159663,2019-02-22,12:10,1,25.46,4.761904762,1.273,5.2,2019,2,22
699-14-3026,Islamabad,Normal,Male,Electronic accessories,85.39,7,29.8865,0.5978246492272314,2019-03-25,18:30,2,597.73,4.761904762,29.8865,4.1,2019,3,25
635-28-5728,Rawalpindi,Normal,Male,Health and beauty,56.0,3,8.4,0.16058728366044991,2019-02-28,19:33,2,168.0,4.761904762,8.4,4.8,2019,2,28
878-30-2331,Islamabad,Member,Female,Sports and travel,54.55,10,27.275,0.544682193258244,2019-03-02,11:22,1,545.5,4.761904762,27.275,7.1,2019,3,2
871-39-9221,Islamabad,Normal,Female,Electronic accessories,12.45,6,3.735,0.0656573364671408,2019-02-09,13:11,0,74.7,4.761904762,3.735,4.1,2019,2,9
808-65-0703,Islamabad,Normal,Male,Home and lifestyle,35.47,4,7.094,0.13401096832616016,2019-03-14,17:22,1,141.88,4.761904762,7.094,6.9,2019,3,14
554-42-2417,Islamabad,Normal,Female,Sports and travel,95.44,10,47.72,0.960725659574901,2019-01-09,13:45,0,954.4,4.761904762,47.72,5.2,2019,1,9
631-34-1880,Islamabad,Member,Male,Food and beverages,24.31,3,3.6465,0.06385641463935776,2019-01-08,19:09,1,72.93,4.761904762,3.6465,4.3,2019,1,8
359-94-5395,Faisalabad,Normal,Male,Health and beauty,92.78,1,4.639,0.08405319332946694,2019-03-15,10:50,1,92.78,4.761904762,4.639,9.8,2019,3,15
289-15-7034,Rawalpindi,Member,Male,Sports and travel,82.33,4,16.466,0.3247255374785059,2019-01-11,10:37,1,329.32,4.761904762,16.466,7.5,2019,1,11
655-07-2265,Rawalpindi,Normal,Male,Electronic accessories,78.31,3,11.7465,0.22868654802966942,2019-03-05,16:38,2,234.93,4.761904762,11.7465,5.4,2019,3,5
462-78-5240,Islamabad,Normal,Female,Electronic accessories,26.61,2,2.661,0.04380208174353652,2019-03-19,14:35,0,53.22,4.761904762,2.661,4.2,2019,3,19
686-41-0932,Faisalabad,Normal,Female,Fashion accessories,34.7,2,3.47,0.06026474568338369,2019-03-13,19:48,2,69.4,4.761904762,3.47,8.2,2019,3,13
642-32-2990,Rawalpindi,Normal,Female,Food and beverages,10.96,10,5.48,0.10116703804320176,2019-02-02,20:48,2,109.6,4.761904762,5.48,6.0,2019,2,2
377-79-7592,Islamabad,Member,Female,Electronic accessories,44.84,9,20.178,0.40026250724947343,2019-01-14,14:00,1,403.56,4.761904762,20.178,7.5,2019,1,14
845-51-0542,Faisalabad,Member,Male,Food and beverages,46.55,9,20.9475,0.41592136992155304,2019-02-02,15:34,2,418.95,4.761904762,20.9475,6.4,2019,2,2
133-14-7229,Islamabad,Normal,Male,Health and beauty,62.87,2,6.287,0.11758900318468095,2019-01-01,11:43,0,125.74,4.761904762,6.287,5.0,2019,1,1
692-92-5582,Faisalabad,Member,Female,Food and beverages,54.84,3,8.226,0.15704648820243583,2019-02-20,13:27,1,164.52,4.761904762,8.226,5.9,2019,2,20
848-24-9445,Islamabad,Member,Male,Health and beauty,43.7,2,4.37,0.07857920494897387,2019-03-26,18:03,0,87.4,4.761904762,4.37,4.9,2019,3,26
642-30-6693,Faisalabad,Normal,Female,Sports and travel,54.51,6,16.353,0.32242605537071517,2019-03-17,13:54,2,327.06,4.761904762,16.353,7.8,2019,3,17
847-38-7188,Faisalabad,Normal,Female,Food and beverages,96.68,3,14.502,0.28475931748115135,2019-01-26,19:56,2,290.04,4.761904762,14.502,6.4,2019,1,26
468-99-7231,Islamabad,Normal,Female,Home and lifestyle,44.01,8,17.604,0.34788315374988554,2019-03-03,17:36,0,352.08,4.761904762,17.604,8.8,2019,3,3
695-28-6250,Rawalpindi,Normal,Female,Sports and travel,43.06,5,10.765,0.2087136127305841,2019-02-04,16:38,2,215.3,4.761904762,10.765,7.7,2019,2,4
864-24-7918,Rawalpindi,Member,Female,Sports and travel,24.49,10,12.245,0.23883072352288795,2019-02-22,15:15,0,244.9,4.761904762,12.245,8.1,2019,2,22
478-06-7835,Rawalpindi,Normal,Male,Fashion accessories,89.69,1,4.4845,0.08090921115554062,2019-01-11,11:20,2,89.69,4.761904762,4.4845,4.9,2019,1,11
139-20-0155,Faisalabad,Member,Male,Electronic accessories,40.3,10,20.15,0.3996927240723217,2019-01-24,17:37,1,403.0,4.761904762,20.15,7.0,2019,1,24
677-11-0152,Islamabad,Normal,Female,Food and beverages,93.26,9,41.967,0.8436555660694117,2019-01-16,18:08,0,839.34,4.761904762,41.967,8.8,2019,1,16
482-17-1179,Rawalpindi,Member,Male,Electronic accessories,11.94,3,1.791,0.026098104453466008,2019-01-19,12:47,1,35.82,4.761904762,1.791,8.1,2019,1,19
578-80-7669,Faisalabad,Normal,Male,Sports and travel,74.97,1,3.7485,0.06593205335612466,2019-03-16,16:58,0,74.97,4.761904762,3.7485,5.6,2019,3,16
449-27-2918,Faisalabad,Member,Female,Sports and travel,39.12,1,1.956,0.029455755318824214,2019-03-26,11:02,1,39.12,4.761904762,1.956,9.6,2019,3,26
583-72-1480,Islamabad,Member,Male,Electronic accessories,37.06,4,7.412,0.1404820772666687,2019-01-31,16:24,2,148.24,4.761904762,7.412,9.7,2019,1,31
503-21-4385,Faisalabad,Member,Male,Health and beauty,39.91,3,5.9865,0.11147400872989223,2019-02-21,12:40,2,119.73,4.761904762,5.9865,9.3,2019,2,21
859-97-6048,Islamabad,Member,Male,Electronic accessories,84.25,2,8.425,0.16109601864004966,2019-03-26,14:13,1,168.5,4.761904762,8.425,5.3,2019,3,26
443-60-9639,Islamabad,Member,Female,Home and lifestyle,60.87,1,3.0435,0.05158572693141235,2019-01-24,13:24,0,60.87,4.761904762,3.0435,5.5,2019,1,24
573-98-8548,Islamabad,Member,Female,Fashion accessories,31.9,1,1.595,0.022109622213404147,2019-01-05,12:40,2,31.9,4.761904762,1.595,9.1,2019,1,5
470-32-9057,Rawalpindi,Member,Male,Food and beverages,51.34,5,12.835,0.2508368690414416,2019-03-28,15:31,1,256.7,4.761904762,12.835,9.1,2019,3,28
471-41-2823,Islamabad,Normal,Male,Food and beverages,99.79,2,9.979,0.19271898497196868,2019-03-07,20:37,2,199.58,4.761904762,9.979,8.0,2019,3,7
746-19-0921,Islamabad,Normal,Male,Food and beverages,21.58,1,1.079,0.011609332234465777,2019-02-09,10:02,2,21.58,4.761904762,1.079,7.2,2019,2,9
235-06-8510,Islamabad,Member,Male,Home and lifestyle,85.72,3,12.858,0.25130490522267324,2019-01-24,20:59,2,257.16,4.761904762,12.858,5.1,2019,1,24
741-73-3559,Faisalabad,Normal,Male,Sports and travel,67.27,5,16.8175,0.3318783512916781,2019-02-27,17:27,0,336.35,4.761904762,16.8175,6.9,2019,2,27
315-22-5665,Islamabad,Normal,Female,Home and lifestyle,73.56,10,36.78,0.7381032325020602,2019-02-24,11:38,2,735.6,4.761904762,36.78,8.0,2019,2,24
782-95-9291,Rawalpindi,Member,Male,Food and beverages,92.29,5,23.0725,0.45916384318752984,2019-02-20,15:55,1,461.45,4.761904762,23.0725,9.0,2019,2,20
343-87-0864,Islamabad,Member,Male,Health and beauty,75.88,1,3.794,0.06685795101899616,2019-01-03,10:30,1,75.88,4.761904762,3.794,7.1,2019,1,3
450-28-2866,Islamabad,Member,Male,Food and beverages,17.44,5,4.36,0.07837571095713398,2019-01-15,19:25,0,87.2,4.761904762,4.36,8.1,2019,1,15
674-15-9296,Rawalpindi,Normal,Male,Sports and travel,37.14,5,9.285,0.17859650193828028,2019-01-08,13:05,2,185.7,4.761904762,9.285,5.0,2019,1,8
271-88-8734,Islamabad,Member,Female,Fashion accessories,97.21,10,48.605,0.9787348778527313,2019-02-08,13:00,1,972.1,4.761904762,48.605,8.7,2019,2,8
102-06-2002,Islamabad,Member,Male,Sports and travel,25.25,5,6.3125,0.11810791286387269,2019-03-20,17:52,0,126.25,4.761904762,6.3125,6.1,2019,3,20
365-16-4334,Faisalabad,Normal,Female,Food and beverages,26.43,8,10.572,0.20478617868807422,2019-02-24,14:26,2,211.44,4.761904762,10.572,8.9,2019,2,24
835-16-0096,Islamabad,Member,Male,Sports and travel,14.7,5,3.675,0.06443637251610145,2019-03-24,13:48,2,73.5,4.761904762,3.675,8.5,2019,3,24
458-61-0011,Faisalabad,Normal,Male,Food and beverages,60.3,4,12.06,0.23506608467384998,2019-02-20,18:43,0,241.2,4.761904762,12.06,5.8,2019,2,20
501-61-1753,Faisalabad,Normal,Female,Home and lifestyle,63.15,6,18.945,0.3751716980556149,2019-01-03,20:24,2,378.9,4.761904762,18.945,9.8,2019,1,3
651-88-7328,Rawalpindi,Normal,Female,Fashion accessories,65.74,9,29.583,0.5916486065748908,2019-01-01,13:55,0,591.66,4.761904762,29.583,7.7,2019,1,1
585-11-6748,Faisalabad,Member,Male,Sports and travel,96.8,3,14.52,0.2851256066664632,2019-03-15,13:05,0,290.4,4.761904762,14.52,5.3,2019,3,15
287-83-1405,Rawalpindi,Normal,Male,Health and beauty,25.43,6,7.629,0.14489789688959434,2019-02-12,19:01,2,152.58,4.761904762,7.629,7.0,2019,2,12
443-82-0585,Rawalpindi,Member,Female,Health and beauty,77.68,4,15.536,0.305800596237396,2019-02-01,19:54,0,310.72,4.761904762,15.536,8.4,2019,2,1
162-65-8559,Islamabad,Member,Male,Food and beverages,68.98,1,3.449,0.05983740830051992,2019-01-21,20:13,0,68.98,4.761904762,3.449,4.8,2019,1,21
296-11-7041,Faisalabad,Member,Female,Health and beauty,27.07,1,1.3535,0.017195242310470784,2019-01-12,20:07,1,27.07,4.761904762,1.3535,5.3,2019,1,12
568-88-3448,Rawalpindi,Normal,Male,Health and beauty,25.0,1,1.25,0.015089079494927913,2019-03-03,15:09,2,25.0,4.761904762,1.25,5.5,2019,3,3
466-61-5506,Faisalabad,Member,Female,Electronic accessories,90.7,6,27.21,0.5433594823112846,2019-02-26,10:52,0,544.2,4.761904762,27.21,5.3,2019,2,26
115-99-4379,Faisalabad,Member,Female,Fashion accessories,54.73,7,19.1555,0.37945524658384455,2019-03-14,19:02,1,383.11,4.761904762,19.1555,8.5,2019,3,14
210-74-9613,Islamabad,Normal,Male,Fashion accessories,97.26,4,19.452,0.3854888434418974,2019-03-16,15:33,2,389.04,4.761904762,19.452,6.8,2019,3,16
142-63-6033,Faisalabad,Normal,Male,Home and lifestyle,92.36,5,23.09,0.45951995767324966,2019-03-20,19:17,2,461.8,4.761904762,23.09,4.9,2019,3,20
756-01-7507,Islamabad,Normal,Female,Health and beauty,20.38,5,5.095,0.09333251935736597,2019-01-22,18:56,0,101.9,4.761904762,5.095,6.0,2019,1,22
262-47-2794,Faisalabad,Member,Male,Home and lifestyle,71.86,8,28.744,0.5745754606595239,2019-03-06,15:07,1,574.88,4.761904762,28.744,6.2,2019,3,6
735-06-4124,Islamabad,Normal,Male,Food and beverages,48.61,1,2.4305,0.039111545231627035,2019-02-25,15:31,0,48.61,4.761904762,2.4305,4.4,2019,2,25
856-66-2701,Rawalpindi,Member,Male,Home and lifestyle,53.3,3,7.995,0.15234577699093435,2019-01-25,14:19,2,159.9,4.761904762,7.995,7.5,2019,1,25
875-31-8302,Faisalabad,Normal,Male,Sports and travel,93.38,1,4.669,0.08466367530498661,2019-01-03,13:07,0,93.38,4.761904762,4.669,9.6,2019,1,3
387-49-4215,Faisalabad,Member,Female,Sports and travel,48.5,3,7.275,0.1376942095784622,2019-01-08,12:50,0,145.5,4.761904762,7.275,6.7,2019,1,8
873-95-4984,Faisalabad,Member,Female,Health and beauty,76.9,7,26.915,0.5373564095520079,2019-02-15,20:21,0,538.3,4.761904762,26.915,7.7,2019,2,15
438-01-4015,Faisalabad,Member,Female,Sports and travel,49.49,4,9.898,0.1910706836380656,2019-03-21,15:25,2,197.96,4.761904762,9.898,6.6,2019,3,21
728-88-7867,Islamabad,Member,Female,Home and lifestyle,75.53,4,15.106,0.2970503545882808,2019-03-19,15:52,2,302.12,4.761904762,15.106,8.3,2019,3,19
590-83-4591,Faisalabad,Member,Male,Electronic accessories,87.45,6,26.235,0.5235188181068953,2019-02-17,14:40,1,524.7,4.761904762,26.235,8.8,2019,2,17
729-06-2010,Faisalabad,Member,Male,Health and beauty,80.47,9,36.2115,0.7265345990659625,2019-01-06,11:18,0,724.23,4.761904762,36.2115,9.2,2019,1,6
181-94-6432,Islamabad,Member,Male,Fashion accessories,69.33,2,6.933,0.13073471505753792,2019-02-05,19:05,2,138.66,4.761904762,6.933,9.7,2019,2,5
776-68-1096,Faisalabad,Normal,Male,Home and lifestyle,44.12,3,6.618,0.12432465431458135,2019-03-18,13:45,1,132.36,4.761904762,6.618,7.9,2019,3,18
308-39-1707,Rawalpindi,Normal,Female,Fashion accessories,12.09,1,0.6045,0.0019535423216629523,2019-01-26,18:19,1,12.09,4.761904762,0.6045,8.2,2019,1,26
750-67-8428,Rawalpindi,Member,Female,Health and beauty,74.69,7,26.1415,0.5216161492831923,2019-01-05,13:08,2,522.83,4.761904762,26.1415,9.1,2019,1,5
428-83-5800,Islamabad,Member,Female,Food and beverages,21.08,3,3.162,0.05399713073471506,2019-02-09,10:25,0,63.24,4.761904762,3.162,7.3,2019,2,9
834-45-5519,Faisalabad,Normal,Female,Electronic accessories,43.0,4,8.6,0.16465716349724774,2019-01-31,20:48,2,172.0,4.761904762,8.6,7.6,2019,1,31
541-48-8554,Rawalpindi,Normal,Male,Sports and travel,60.95,9,27.4275,0.5477854766338023,2019-01-07,12:08,1,548.55,4.761904762,27.4275,6.0,2019,1,7
544-55-9589,Faisalabad,Member,Female,Electronic accessories,21.43,10,10.715,0.20769614277138465,2019-01-28,11:51,0,214.3,4.761904762,10.715,6.2,2019,1,28
857-67-9057,Faisalabad,Normal,Male,Electronic accessories,22.95,10,11.475,0.22316168615121637,2019-02-06,19:20,2,229.5,4.761904762,11.475,8.2,2019,2,6
598-47-9715,Islamabad,Normal,Male,Electronic accessories,84.07,4,16.814,0.33180712839453413,2019-03-07,16:54,2,336.28,4.761904762,16.814,4.4,2019,3,7
587-03-7455,Islamabad,Member,Female,Fashion accessories,97.79,7,34.2265,0.6861410416857441,2019-02-16,17:30,2,684.53,4.761904762,34.2265,4.9,2019,2,16
733-33-4967,Islamabad,Normal,Male,Electronic accessories,20.85,8,8.34,0.15936631970941056,2019-03-03,19:17,0,166.8,4.761904762,8.34,6.3,2019,3,3
668-90-8900,Rawalpindi,Normal,Female,Home and lifestyle,93.69,7,32.7915,0.6569396538567197,2019-03-10,18:44,1,655.83,4.761904762,32.7915,4.5,2019,3,10
885-17-6250,Rawalpindi,Normal,Female,Health and beauty,79.74,1,3.987,0.07078538506150606,2019-03-06,10:36,2,79.74,4.761904762,3.987,7.3,2019,3,6
266-76-6436,Islamabad,Member,Female,Food and beverages,38.6,3,5.79,0.10747535179023839,2019-03-28,13:57,2,115.8,4.761904762,5.79,7.5,2019,3,28
210-57-1719,Faisalabad,Normal,Female,Health and beauty,58.24,9,26.208,0.5229693843289277,2019-02-05,12:34,0,524.16,4.761904762,26.208,9.7,2019,2,5
865-41-9075,Rawalpindi,Normal,Male,Food and beverages,11.53,7,4.0355,0.07177233092192953,2019-01-28,17:35,0,80.71,4.761904762,4.0355,8.1,2019,1,28
565-80-5980,Islamabad,Member,Female,Home and lifestyle,47.38,4,9.476,0.18248323718242218,2019-01-23,10:25,0,189.52,4.761904762,9.476,7.1,2019,1,23
500-02-2261,Islamabad,Normal,Female,Food and beverages,57.29,6,17.187,0.3393974542901621,2019-03-21,17:04,2,343.74,4.761904762,17.187,5.9,2019,3,21
434-83-9547,Islamabad,Member,Male,Food and beverages,38.47,8,15.388,0.3027888851581657,2019-01-23,11:51,0,307.76,4.761904762,15.388,7.7,2019,1,23
477-24-6490,Faisalabad,Normal,Female,Health and beauty,99.71,6,29.913,0.5983639083056072,2019-02-26,16:52,2,598.26,4.761904762,29.913,7.9,2019,2,26
699-88-1972,Faisalabad,Normal,Male,Health and beauty,99.16,8,39.664,0.7967908997486848,2019-01-28,17:47,1,793.28,4.761904762,39.664,4.2,2019,1,28
382-03-4532,Rawalpindi,Member,Female,Health and beauty,18.33,1,0.9165,0.00830255486706755,2019-02-02,18:50,0,18.33,4.761904762,0.9165,4.3,2019,2,2
558-80-4082,Islamabad,Normal,Male,Electronic accessories,27.85,7,9.7475,0.1880080990608752,2019-03-14,17:20,2,194.95,4.761904762,9.7475,6.0,2019,3,14
802-70-5316,Rawalpindi,Member,Female,Sports and travel,92.13,6,27.639,0.552089374561216,2019-03-06,20:34,0,552.78,4.761904762,27.639,8.3,2019,3,6
446-47-6729,Islamabad,Normal,Male,Fashion accessories,99.82,2,9.982,0.19278003316952066,2019-01-02,18:09,1,199.64,4.761904762,9.982,6.7,2019,1,2
489-64-4354,Islamabad,Normal,Male,Fashion accessories,16.28,1,0.814,0.00621674145070867,2019-03-09,15:36,0,16.28,4.761904762,0.814,5.0,2019,3,9
815-11-1168,Rawalpindi,Member,Male,Food and beverages,99.78,5,24.945,0.4972680931595495,2019-03-09,19:09,0,498.9,4.761904762,24.945,5.4,2019,3,9
239-10-7476,Rawalpindi,Normal,Female,Home and lifestyle,77.95,6,23.385,0.4655230304325264,2019-01-21,16:37,2,467.7,4.761904762,23.385,8.0,2019,1,21
301-81-8610,Faisalabad,Member,Male,Fashion accessories,25.42,8,10.168,0.19656502141774262,2019-03-19,19:42,1,203.36,4.761904762,10.168,6.7,2019,3,19
