User_ID,Product_ID,Category,Price (Rs.),Discount (%),Final_Price(Rs.),Payment_Method,Purchase_Date
U2749,P404,Clothing,449.74,10,404.77,Cash on Delivery,15-09-2024
U316,P2441,Sports,272.92,30,191.04,Easypaisa,12-05-2024
U2080,P2409,Home & Kitchen,432.89,15,367.96,UBL Omni,25-02-2024
U345,P2404,Home & Kitchen,310.86,10,279.77,JazzCash,30-10-2024
U2248,P2706,Beauty,479.19,0,479.19,Debit Card,11-08-2024
U813,P1242,Home & Kitchen,350.61,10,315.55,Debit Card,03-06-2024
U1372,P2336,Books,154.62,50,77.31,Easypaisa,08-10-2024
U2609,P1706,Toys,435.6,50,217.8,Easypaisa,04-04-2024
U1182,P1048,Toys,400.31,25,300.23,Easypaisa,03-08-2024
U1778,P2616,Electronics,15.81,25,11.86,JazzCash,08-05-2024
U3608,P2844,Toys,35.25,15,29.96,JazzCash,11-01-2024
U802,P1932,Electronics,414.76,0,414.76,Debit Card,30-06-2024
U2628,P2623,Toys,334.47,30,234.13,Debit Card,25-08-2024
U3258,P2085,Home & Kitchen,178.39,25,133.79,JazzCash,04-10-2024
U2456,P2019,Books,237.95,15,202.26,Easypaisa,22-10-2024
U1097,P322,Electronics,458.12,15,389.4,JazzCash,29-08-2024
U1580,P369,Beauty,286.5,5,272.18,UBL Omni,10-08-2024
U464,P3584,Sports,10.78,10,9.7,Easypaisa,22-08-2024
U1010,P1882,Beauty,342.66,30,239.86,JazzCash,24-07-2024
U1493,P3138,Sports,225.17,30,157.62,Cash on Delivery,16-09-2024
U2845,P3196,Clothing,405.45,25,304.09,JazzCash,18-07-2024
U2280,P3173,Beauty,112.45,0,112.45,UBL Omni,07-07-2024
U2702,P656,Books,380.81,20,304.65,UBL Omni,01-04-2024
U772,P3374,Sports,394.12,25,295.59,UBL Omni,09-03-2024
U129,P2466,Sports,334.77,15,284.55,Cash on Delivery,29-01-2024
U3458,P3609,Clothing,125.65,10,113.09,JazzCash,27-02-2024
U281,P248,Toys,202.26,20,161.81,Cash on Delivery,13-09-2024
U3534,P1130,Clothing,173.51,20,138.81,Easypaisa,28-01-2024
U1768,P1677,Toys,30.8,50,15.4,JazzCash,28-04-2024
U571,P538,Home & Kitchen,305.93,10,275.34,Cash on Delivery,19-10-2024
U2138,P1911,Clothing,282.5,5,268.38,Cash on Delivery,14-04-2024
U1999,P275,Books,274.87,50,137.44,Easypaisa,17-09-2024
U2395,P143,Electronics,93.08,20,74.46,Easypaisa,11-03-2024
U421,P2091,Home & Kitchen,274.11,15,232.99,UBL Omni,17-10-2024
U746,P455,Sports,362.61,0,362.61,Cash on Delivery,21-11-2024
U362,P272,Electronics,486.62,25,364.97,Easypaisa,09-01-2024
U3484,P1991,Home & Kitchen,336.49,20,269.19,Cash on Delivery,03-09-2024
U2522,P2671,Toys,454.39,25,340.79,UBL Omni,04-09-2024
U1136,P2438,Home & Kitchen,215.44,50,107.72,JazzCash,22-06-2024
U1059,P1313,Clothing,33.02,15,28.07,JazzCash,18-09-2024
U947,P3263,Toys,138.83,10,124.95,Easypaisa,18-06-2024
U534,P1362,Books,490.71,5,466.17,Debit Card,10-03-2024
U2853,P1774,Toys,280.66,15,238.56,Debit Card,11-11-2024
U1527,P3093,Books,327.4,30,229.18,Debit Card,11-09-2024
U1369,P2067,Books,309.67,25,232.25,JazzCash,04-09-2024
U1203,P2917,Books,292.67,25,219.5,UBL Omni,13-02-2024
U3578,P3111,Clothing,40.87,15,34.74,Easypaisa,11-03-2024
U1106,P3405,Clothing,455.19,15,386.91,Easypaisa,05-10-2024
U3580,P395,Toys,312.3,10,281.07,JazzCash,31-01-2024
U846,P171,Sports,193.28,10,173.95,JazzCash,11-06-2024
U1752,P797,Electronics,216.18,30,151.33,UBL Omni,27-03-2024
U3647,P3105,Electronics,81.41,5,77.34,Cash on Delivery,20-02-2024
U1784,P2617,Beauty,496.05,5,471.25,Debit Card,09-01-2024
U3131,P1571,Sports,357.54,15,303.91,Cash on Delivery,15-06-2024
U787,P3594,Electronics,133.93,0,133.93,Cash on Delivery,24-04-2024
U2438,P3498,Clothing,90.2,10,81.18,Debit Card,28-01-2024
U1733,P2176,Books,431.44,50,215.72,JazzCash,28-01-2024
U916,P2670,Home & Kitchen,42.98,5,40.83,JazzCash,07-09-2024
U928,P1756,Sports,182.04,0,182.04,JazzCash,23-08-2024
U2306,P3536,Beauty,83.58,20,66.86,Easypaisa,01-04-2024
U3646,P2009,Clothing,92.92,10,83.63,UBL Omni,02-04-2024
U1774,P3169,Toys,388.1,25,291.08,Cash on Delivery,28-06-2024
U2985,P1333,Beauty,417.57,50,208.78,JazzCash,22-02-2024
U1692,P720,Sports,322.93,5,306.78,UBL Omni,03-01-2024
U3310,P2220,Toys,257.21,5,244.35,JazzCash,05-09-2024
U2955,P1942,Home & Kitchen,29.92,50,14.96,Debit Card,01-05-2024
U1676,P1968,Home & Kitchen,239.67,15,203.72,JazzCash,27-01-2024
U271,P2794,Beauty,163.3,30,114.31,UBL Omni,31-05-2024
U3262,P359,Books,135.62,30,94.93,JazzCash,01-09-2024
U3535,P1955,Toys,61.84,50,30.92,Easypaisa,19-04-2024
U2249,P3599,Sports,496.36,25,372.27,UBL Omni,30-07-2024
U1410,P3591,Toys,107.11,30,74.98,Easypaisa,29-04-2024
U1120,P1903,Electronics,384.8,25,288.6,UBL Omni,07-10-2024
U2854,P966,Toys,377.75,50,188.88,UBL Omni,25-05-2024
U556,P1698,Home & Kitchen,285.18,0,285.18,Easypaisa,24-05-2024
U3401,P2412,Books,187.86,0,187.86,JazzCash,24-02-2024
U203,P1099,Sports,440.5,50,220.25,Easypaisa,24-09-2024
U562,P112,Beauty,124.56,0,124.56,UBL Omni,16-04-2024
U3321,P959,Beauty,236.7,0,236.7,Cash on Delivery,16-09-2024
U1982,P1597,Clothing,397.16,30,278.01,Cash on Delivery,11-10-2024
U3471,P586,Beauty,248.95,15,211.61,Debit Card,14-04-2024
U1812,P2317,Sports,123.71,50,61.85,JazzCash,12-10-2024
U1255,P2351,Electronics,62.46,30,43.72,Debit Card,18-11-2024
U2779,P4,Electronics,451.3,20,361.04,Cash on Delivery,12-06-2024
U3287,P124,Sports,320.09,0,320.09,JazzCash,15-03-2024
U2084,P882,Toys,51.73,30,36.21,Debit Card,21-05-2024
U1539,P2205,Toys,388.94,20,311.15,Easypaisa,21-05-2024
U2852,P129,Sports,85.98,20,68.78,UBL Omni,14-05-2024
U1107,P626,Home & Kitchen,460.89,10,414.8,Debit Card,18-05-2024
U1765,P468,Home & Kitchen,492.64,20,394.11,UBL Omni,07-07-2024
U1663,P44,Sports,86.95,25,65.21,Cash on Delivery,05-08-2024
U1318,P1784,Beauty,416.65,15,354.15,Easypaisa,05-07-2024
U3073,P2063,Toys,155.75,50,77.88,UBL Omni,22-07-2024
U1541,P1851,Clothing,238.9,25,179.18,Cash on Delivery,17-04-2024
U2602,P2214,Beauty,470.33,0,470.33,UBL Omni,12-04-2024
U2036,P872,Toys,62.48,20,49.98,JazzCash,02-06-2024
U16,P1444,Home & Kitchen,317.67,20,254.14,Easypaisa,10-02-2024
U3002,P1046,Beauty,33.21,20,26.57,Easypaisa,14-03-2024
U2424,P1736,Books,118.52,5,112.59,Easypaisa,11-04-2024
U2633,P518,Clothing,376.63,15,320.14,UBL Omni,07-05-2024
U2744,P3246,Beauty,428.47,0,428.47,UBL Omni,15-03-2024
U3378,P1657,Beauty,462.91,20,370.33,Cash on Delivery,02-07-2024
U1526,P1419,Electronics,385.98,15,328.08,Easypaisa,08-05-2024
U3147,P92,Clothing,311.0,25,233.25,Easypaisa,31-07-2024
U305,P570,Toys,268.49,25,201.37,JazzCash,09-05-2024
U1967,P35,Toys,185.46,10,166.91,Easypaisa,12-06-2024
U378,P2600,Electronics,267.4,5,254.03,Cash on Delivery,19-04-2024
U812,P1314,Home & Kitchen,203.43,5,193.26,Debit Card,23-09-2024
U3574,P357,Books,171.63,50,85.81,Easypaisa,21-02-2024
U3272,P585,Electronics,326.01,0,326.01,JazzCash,11-10-2024
U2264,P2510,Electronics,147.71,0,147.71,Easypaisa,09-06-2024
U906,P1221,Clothing,390.2,0,390.2,Easypaisa,02-02-2024
U683,P3052,Home & Kitchen,406.06,50,203.03,JazzCash,24-03-2024
U576,P884,Books,268.42,5,255.0,UBL Omni,10-03-2024
U1544,P2644,Beauty,210.36,10,189.32,Cash on Delivery,17-11-2024
U931,P3226,Home & Kitchen,285.47,20,228.38,Easypaisa,01-06-2024
U3596,P1405,Toys,494.46,10,445.01,UBL Omni,18-08-2024
U2005,P2012,Clothing,287.09,20,229.67,Debit Card,10-04-2024
U1731,P1258,Clothing,378.27,0,378.27,Cash on Delivery,29-03-2024
U1898,P3613,Clothing,23.54,20,18.83,Debit Card,11-07-2024
U1176,P1749,Clothing,383.58,10,345.22,JazzCash,07-06-2024
U1478,P1184,Sports,41.61,15,35.37,UBL Omni,05-11-2024
U1379,P2248,Toys,261.57,50,130.78,Debit Card,20-07-2024
U2750,P374,Electronics,251.32,5,238.75,UBL Omni,28-06-2024
U688,P1907,Sports,72.43,50,36.22,Debit Card,15-09-2024
U3525,P3213,Sports,421.0,10,378.9,Easypaisa,03-07-2024
U306,P1639,Books,422.02,30,295.41,Debit Card,07-06-2024
U831,P2329,Toys,219.83,5,208.84,UBL Omni,13-10-2024
U685,P1818,Electronics,242.33,15,205.98,Easypaisa,10-05-2024
U1946,P30,Clothing,334.28,15,284.14,Cash on Delivery,07-05-2024
U2937,P888,Books,148.21,50,74.11,Easypaisa,22-08-2024
U1359,P3057,Home & Kitchen,275.11,50,137.56,Easypaisa,25-08-2024
U2089,P1201,Home & Kitchen,211.85,20,169.48,JazzCash,28-05-2024
U921,P341,Sports,497.4,50,248.7,Debit Card,08-08-2024
U201,P525,Beauty,368.74,5,350.3,JazzCash,26-02-2024
U3435,P338,Home & Kitchen,260.82,0,260.82,UBL Omni,05-02-2024
U2163,P922,Beauty,394.35,15,335.2,Easypaisa,06-03-2024
U173,P2784,Home & Kitchen,459.03,20,367.22,UBL Omni,11-08-2024
U2876,P2183,Beauty,377.99,10,340.19,Debit Card,26-07-2024
U1061,P58,Sports,269.87,50,134.94,JazzCash,06-08-2024
U1033,P3610,Beauty,458.8,50,229.4,Easypaisa,25-06-2024
U3505,P3626,Home & Kitchen,414.08,20,331.26,Easypaisa,03-04-2024
U156,P1996,Clothing,496.06,15,421.65,Debit Card,20-10-2024
U664,P133,Books,295.86,30,207.1,JazzCash,29-10-2024
U1939,P2435,Home & Kitchen,430.43,0,430.43,JazzCash,02-10-2024
U2828,P1936,Sports,169.71,25,127.28,UBL Omni,08-07-2024
U1605,P683,Clothing,315.8,0,315.8,Easypaisa,20-11-2024
U2730,P3369,Home & Kitchen,154.33,25,115.75,UBL Omni,04-08-2024
U827,P1118,Home & Kitchen,197.33,25,148.0,UBL Omni,22-08-2024
U1442,P2464,Toys,270.73,20,216.58,Easypaisa,06-08-2024
U1966,P291,Home & Kitchen,261.23,20,208.98,Cash on Delivery,13-11-2024
U2799,P1126,Home & Kitchen,334.87,50,167.44,Cash on Delivery,14-11-2024
U1932,P1470,Beauty,266.2,0,266.2,JazzCash,14-11-2024
U83,P1159,Home & Kitchen,169.53,50,84.77,UBL Omni,06-03-2024
U304,P2159,Clothing,332.57,0,332.57,Easypaisa,18-02-2024
U1790,P902,Toys,398.85,10,358.97,Debit Card,23-09-2024
U2452,P627,Home & Kitchen,180.6,0,180.6,JazzCash,24-09-2024
U811,P2640,Books,433.59,25,325.19,Debit Card,14-01-2024
U1535,P1340,Home & Kitchen,20.74,10,18.67,JazzCash,01-09-2024
U2540,P1590,Electronics,17.01,30,11.91,Easypaisa,24-05-2024
U1795,P2395,Electronics,34.13,50,17.07,Cash on Delivery,09-03-2024
U66,P584,Home & Kitchen,11.14,15,9.47,UBL Omni,19-03-2024
U1549,P1944,Home & Kitchen,206.97,0,206.97,Easypaisa,25-10-2024
U1406,P2748,Home & Kitchen,353.08,50,176.54,UBL Omni,23-08-2024
U3019,P441,Sports,67.36,25,50.52,Easypaisa,10-11-2024
U703,P2802,Books,203.49,30,142.44,Easypaisa,30-04-2024
U2448,P1181,Clothing,246.98,30,172.89,JazzCash,11-05-2024
U2524,P1256,Books,368.25,20,294.6,UBL Omni,16-11-2024
U2009,P2783,Books,327.19,20,261.75,Debit Card,02-11-2024
U1736,P1183,Sports,274.65,20,219.72,Debit Card,08-11-2024
U2283,P3291,Electronics,369.15,0,369.15,UBL Omni,19-06-2024
U2207,P1429,Clothing,84.26,5,80.05,Cash on Delivery,16-10-2024
U2577,P526,Books,255.74,25,191.81,JazzCash,04-06-2024
U3533,P1272,Sports,440.74,30,308.52,Cash on Delivery,11-09-2024
U1672,P3607,Electronics,316.84,25,237.63,Debit Card,25-05-2024
U1241,P2515,Beauty,199.88,10,179.89,Easypaisa,20-01-2024
U3557,P1918,Home & Kitchen,389.85,30,272.89,Easypaisa,20-07-2024
U3303,P1569,Sports,317.98,5,302.08,UBL Omni,23-07-2024
U1525,P1482,Home & Kitchen,165.06,30,115.54,Debit Card,12-11-2024
U1735,P1456,Books,192.48,15,163.61,UBL Omni,05-06-2024
U525,P1320,Home & Kitchen,106.34,20,85.07,JazzCash,11-04-2024
U2212,P1914,Electronics,404.92,50,202.46,Debit Card,22-10-2024
U2072,P1143,Toys,289.62,10,260.66,Easypaisa,28-07-2024
U3029,P863,Beauty,129.89,5,123.4,Debit Card,21-04-2024
U30,P3236,Home & Kitchen,41.2,5,39.14,Easypaisa,15-07-2024
U2748,P462,Clothing,208.08,15,176.87,JazzCash,15-11-2024
U1734,P1845,Sports,114.84,20,91.87,Cash on Delivery,17-06-2024
U3313,P1123,Toys,430.16,20,344.13,JazzCash,31-01-2024
U3045,P1846,Sports,431.98,25,323.99,JazzCash,06-01-2024
U2087,P784,Home & Kitchen,472.77,20,378.22,Cash on Delivery,29-03-2024
U666,P155,Sports,473.18,50,236.59,Debit Card,24-10-2024
U2755,P3002,Books,205.06,25,153.8,Cash on Delivery,13-08-2024
U2229,P2941,Beauty,485.71,20,388.57,UBL Omni,07-06-2024
U1750,P3509,Sports,84.28,10,75.85,Cash on Delivery,23-09-2024
U272,P1714,Books,189.84,20,151.87,UBL Omni,08-03-2024
U1072,P1237,Sports,366.4,15,311.44,Easypaisa,12-09-2024
U2381,P2681,Clothing,93.05,50,46.52,Cash on Delivery,15-05-2024
U1206,P1226,Toys,398.16,5,378.25,UBL Omni,19-04-2024
U678,P2056,Sports,326.51,20,261.21,Debit Card,27-05-2024
U3203,P3131,Toys,367.98,5,349.58,UBL Omni,11-02-2024
U40,P895,Toys,424.14,50,212.07,Debit Card,06-09-2024
U90,P1285,Clothing,359.51,30,251.66,JazzCash,12-05-2024
U1724,P1805,Toys,187.2,25,140.4,Easypaisa,28-05-2024
U1983,P278,Home & Kitchen,232.12,5,220.51,JazzCash,27-08-2024
U2535,P2194,Sports,236.78,25,177.59,Easypaisa,23-06-2024
U2667,P2274,Sports,439.4,10,395.46,Cash on Delivery,03-04-2024
U135,P3537,Toys,133.33,5,126.66,UBL Omni,19-05-2024
U3210,P2999,Beauty,199.31,5,189.34,JazzCash,31-08-2024
U1635,P2554,Electronics,143.68,10,129.31,JazzCash,02-08-2024
U432,P1929,Home & Kitchen,313.37,15,266.36,JazzCash,28-07-2024
U1590,P3428,Electronics,311.05,30,217.73,Easypaisa,27-04-2024
U808,P913,Beauty,71.34,0,71.34,JazzCash,10-09-2024
U2134,P3133,Books,354.11,0,354.11,Debit Card,29-06-2024
U1373,P3217,Books,163.91,10,147.52,Cash on Delivery,22-09-2024
U1116,P1973,Clothing,460.83,30,322.58,Cash on Delivery,17-02-2024
U3483,P1086,Beauty,49.61,20,39.69,UBL Omni,17-04-2024
U1886,P1339,Clothing,325.51,15,276.68,Debit Card,10-11-2024
U223,P861,Books,394.16,10,354.74,Easypaisa,02-11-2024
U1716,P1528,Home & Kitchen,440.11,5,418.1,Debit Card,19-09-2024
U2931,P1956,Books,94.52,30,66.16,Cash on Delivery,10-10-2024
U2871,P28,Beauty,209.41,50,104.7,Easypaisa,31-10-2024
U6,P3356,Toys,413.31,30,289.32,Easypaisa,07-03-2024
U1981,P2733,Sports,205.82,5,195.53,UBL Omni,07-10-2024
U339,P1646,Home & Kitchen,110.73,30,77.51,Cash on Delivery,21-11-2024
U2572,P3435,Toys,432.1,5,410.5,Easypaisa,07-06-2024
U2844,P1481,Sports,375.09,5,356.34,Debit Card,26-10-2024
U1360,P436,Electronics,69.77,5,66.28,Debit Card,17-06-2024
U903,P2190,Beauty,430.96,15,366.32,Cash on Delivery,10-09-2024
U1162,P3029,Home & Kitchen,429.69,30,300.78,Cash on Delivery,07-02-2024
U3167,P234,Books,381.28,15,324.09,Cash on Delivery,05-10-2024
U815,P2893,Toys,72.87,20,58.3,Debit Card,14-02-2024
U3343,P1585,Beauty,37.67,25,28.25,JazzCash,07-04-2024
U3243,P1959,Books,485.0,15,412.25,Easypaisa,17-11-2024
U3454,P471,Home & Kitchen,214.45,0,214.45,UBL Omni,14-04-2024
U644,P2596,Beauty,315.89,0,315.89,Cash on Delivery,02-01-2024
U3311,P2564,Books,211.67,50,105.83,Easypaisa,07-05-2024
U1398,P1469,Toys,490.75,30,343.52,UBL Omni,01-07-2024
U1411,P3384,Toys,444.27,10,399.84,Cash on Delivery,26-02-2024
U2489,P2234,Sports,244.61,10,220.15,Easypaisa,23-08-2024
U2835,P601,Books,444.87,30,311.41,UBL Omni,09-03-2024
U1389,P1215,Books,231.08,10,207.97,Debit Card,31-01-2024
U1678,P3090,Beauty,32.39,20,25.91,UBL Omni,11-05-2024
U3475,P2961,Toys,260.74,5,247.7,Easypaisa,20-09-2024
U2055,P1318,Electronics,446.14,0,446.14,JazzCash,03-01-2024
U1889,P3063,Beauty,144.56,10,130.1,JazzCash,08-08-2024
U317,P3466,Home & Kitchen,467.35,50,233.68,Debit Card,11-07-2024
U514,P735,Toys,71.02,50,35.51,Cash on Delivery,17-11-2024
U2547,P991,Sports,374.32,50,187.16,Cash on Delivery,07-01-2024
U2655,P1361,Books,61.82,20,49.46,JazzCash,21-01-2024
U2103,P3003,Home & Kitchen,214.64,20,171.71,Cash on Delivery,05-08-2024
U1749,P26,Books,220.76,15,187.65,Cash on Delivery,14-03-2024
U150,P2834,Toys,204.56,0,204.56,JazzCash,06-03-2024
U653,P1270,Beauty,78.43,15,66.67,Easypaisa,24-08-2024
U2215,P1039,Home & Kitchen,132.48,20,105.98,JazzCash,01-05-2024
U723,P554,Books,334.55,5,317.82,Easypaisa,13-11-2024
U3058,P2749,Electronics,311.29,10,280.16,Debit Card,12-10-2024
U1261,P3274,Electronics,70.49,15,59.92,Debit Card,24-01-2024
U1725,P1679,Electronics,243.69,50,121.84,UBL Omni,05-01-2024
U623,P3041,Clothing,74.67,20,59.74,Cash on Delivery,21-05-2024
U3595,P788,Electronics,388.03,5,368.63,Easypaisa,07-07-2024
U468,P2228,Sports,28.12,0,28.12,UBL Omni,17-03-2024
U583,P393,Books,112.53,15,95.65,UBL Omni,12-06-2024
U1651,P3415,Books,439.81,15,373.84,Easypaisa,25-05-2024
U2670,P2984,Sports,220.37,20,176.3,JazzCash,05-02-2024
U1595,P3587,Home & Kitchen,314.16,30,219.91,JazzCash,29-09-2024
U1492,P2134,Clothing,438.97,10,395.07,Cash on Delivery,18-10-2024
U2197,P1427,Clothing,166.89,10,150.2,Debit Card,09-01-2024
U3619,P1294,Books,222.28,0,222.28,Cash on Delivery,07-09-2024
U702,P2043,Clothing,128.89,25,96.67,Easypaisa,24-06-2024
U3017,P2608,Beauty,65.88,30,46.12,Cash on Delivery,12-10-2024
U2721,P3348,Beauty,31.93,15,27.14,Easypaisa,14-03-2024
U108,P1395,Home & Kitchen,18.79,50,9.39,Debit Card,04-10-2024
U3201,P2231,Beauty,46.99,25,35.24,JazzCash,10-03-2024
U3139,P3272,Beauty,293.28,30,205.3,Easypaisa,27-07-2024
U1543,P898,Sports,419.54,10,377.59,Cash on Delivery,17-06-2024
U3239,P2818,Electronics,150.09,10,135.08,Debit Card,13-02-2024
U109,P1338,Books,172.11,25,129.08,Easypaisa,01-07-2024
U1657,P2872,Books,440.57,5,418.54,JazzCash,05-08-2024
U3078,P2226,Toys,121.31,15,103.11,JazzCash,03-09-2024
U1960,P3556,Electronics,481.88,15,409.6,Debit Card,30-05-2024
U1746,P1094,Home & Kitchen,177.59,20,142.07,UBL Omni,17-05-2024
U1872,P645,Electronics,443.05,30,310.13,Debit Card,27-01-2024
U3124,P2191,Electronics,235.33,50,117.67,UBL Omni,20-06-2024
U2077,P578,Beauty,24.75,50,12.38,Easypaisa,14-01-2024
U2725,P2439,Electronics,470.9,10,423.81,JazzCash,20-02-2024
U348,P2415,Books,237.27,0,237.27,Cash on Delivery,13-11-2024
U567,P1717,Books,151.72,5,144.13,UBL Omni,23-03-2024
U2310,P1811,Books,27.88,50,13.94,UBL Omni,24-04-2024
U2267,P1257,Sports,26.95,20,21.56,Debit Card,08-03-2024
U3500,P3414,Sports,417.34,30,292.14,Debit Card,17-02-2024
U3116,P2864,Clothing,207.54,10,186.79,Debit Card,26-06-2024
U2120,P492,Home & Kitchen,123.41,25,92.56,JazzCash,05-05-2024
U1604,P2161,Sports,398.36,0,398.36,Debit Card,26-03-2024
U1622,P1114,Sports,350.5,15,297.93,JazzCash,12-01-2024
U1102,P2831,Books,459.93,0,459.93,UBL Omni,19-06-2024
U2746,P2357,Toys,324.93,25,243.7,Cash on Delivery,29-02-2024
U3599,P1089,Toys,483.48,15,410.96,Cash on Delivery,12-09-2024
U71,P2815,Books,286.37,25,214.78,Debit Card,18-03-2024
U1758,P1360,Sports,486.15,5,461.84,Easypaisa,25-06-2024
U2303,P3401,Clothing,44.29,0,44.29,UBL Omni,08-10-2024
U2478,P1415,Sports,481.53,25,361.15,JazzCash,21-08-2024
U1747,P1602,Toys,404.07,15,343.46,JazzCash,01-07-2024
U493,P243,Sports,63.31,20,50.65,JazzCash,12-06-2024
U3366,P149,Electronics,254.31,0,254.31,JazzCash,05-04-2024
U2135,P1106,Home & Kitchen,152.98,15,130.03,JazzCash,18-06-2024
U1942,P1514,Electronics,199.16,15,169.29,Debit Card,20-03-2024
U295,P3075,Electronics,384.71,10,346.24,JazzCash,08-03-2024
U1149,P1329,Toys,498.37,10,448.53,UBL Omni,23-06-2024
U2241,P2979,Beauty,142.53,10,128.28,JazzCash,07-10-2024
U227,P776,Beauty,353.77,15,300.7,JazzCash,05-02-2024
U3409,P648,Toys,38.68,5,36.75,JazzCash,11-09-2024
U2034,P2697,Electronics,34.3,10,30.87,Cash on Delivery,12-11-2024
U2200,P68,Sports,121.05,25,90.79,Cash on Delivery,13-09-2024
U3207,P2959,Sports,117.95,15,100.26,UBL Omni,14-01-2024
U2915,P1310,Clothing,41.11,20,32.89,Debit Card,12-11-2024
U923,P2503,Electronics,171.56,20,137.25,JazzCash,26-07-2024
U1109,P442,Clothing,190.47,20,152.38,JazzCash,11-04-2024
U2804,P3448,Toys,94.21,25,70.66,Easypaisa,06-04-2024
U1909,P2809,Electronics,294.66,15,250.46,Easypaisa,19-10-2024
U693,P2828,Home & Kitchen,262.15,15,222.83,Cash on Delivery,14-01-2024
U2041,P635,Books,257.35,50,128.68,UBL Omni,13-11-2024
U2962,P3460,Books,318.15,10,286.33,UBL Omni,17-03-2024
U2071,P2791,Sports,432.56,30,302.79,Debit Card,17-05-2024
U3352,P445,Books,386.32,10,347.69,JazzCash,16-04-2024
U989,P1190,Toys,131.54,5,124.96,Easypaisa,09-11-2024
U3142,P567,Clothing,32.29,0,32.29,JazzCash,13-10-2024
U2780,P2469,Home & Kitchen,278.03,10,250.23,UBL Omni,14-02-2024
U475,P474,Beauty,381.05,10,342.94,Debit Card,07-10-2024
U2874,P3501,Toys,56.78,10,51.1,JazzCash,11-03-2024
U1986,P762,Sports,30.56,30,21.39,JazzCash,02-06-2024
U138,P714,Clothing,387.81,20,310.25,Cash on Delivery,01-08-2024
U3200,P2666,Clothing,375.41,30,262.79,JazzCash,27-02-2024
U956,P1437,Sports,183.1,5,173.94,Debit Card,11-03-2024
U2904,P1738,Electronics,278.54,15,236.76,Debit Card,15-10-2024
U2422,P2900,Clothing,227.68,10,204.91,JazzCash,16-09-2024
U3466,P3234,Electronics,490.91,30,343.64,Easypaisa,02-08-2024
