Invoice ID,Electronic accessories,Fashion accessories,Food and beverages,Health and beauty,Home and lifestyle,Sports and travel
138-17-5109,0.0,0.0,0.0,0.0,843.0345,0.0
139-20-0155,423.15,0.0,0.0,0.0,0.0,0.0
139-32-4183,0.0,0.0,0.0,0.0,0.0,921.186
139-52-2867,0.0,165.4485,0.0,0.0,0.0,0.0
142-63-6033,0.0,0.0,0.0,0.0,484.89,0.0
142-72-4741,0.0,195.72,0.0,0.0,0.0,0.0
144-51-6085,0.0,0.0,0.0,0.0,297.108,0.0
145-94-9061,0.0,0.0,463.89,0.0,0.0,0.0
146-09-5432,0.0,0.0,331.128,0.0,0.0,0.0
148-41-7930,0.0,0.0,0.0,734.706,0.0,0.0
148-82-2527,0.0,0.0,0.0,0.0,127.26,0.0
149-14-0304,0.0,0.0,0.0,239.4,0.0,0.0
149-15-7606,0.0,0.0,0.0,0.0,0.0,352.674
149-61-1929,0.0,0.0,0.0,0.0,0.0,673.995
149-71-6266,0.0,0.0,0.0,0.0,0.0,737.7615
150-89-8043,0.0,0.0,0.0,0.0,0.0,140.6475
151-16-1484,135.45,0.0,0.0,0.0,0.0,0.0
151-27-8496,235.746,0.0,0.0,0.0,0.0,0.0
151-33-7434,0.0,0.0,71.1585,0.0,0.0,0.0
152-03-4217,0.0,0.0,0.0,0.0,106.596,0.0
152-08-9985,0.0,0.0,0.0,608.202,0.0,0.0
152-68-2907,0.0,0.0,164.43,0.0,0.0,0.0
153-58-4872,0.0,0.0,314.538,0.0,0.0,0.0
154-74-7179,0.0,0.0,0.0,0.0,0.0,57.1725
154-87-7367,0.0,0.0,0.0,0.0,548.184,0.0
155-45-3814,743.82,0.0,0.0,0.0,0.0,0.0
156-20-0370,26.7225,0.0,0.0,0.0,0.0,0.0
156-95-3964,0.0,0.0,232.638,0.0,0.0,0.0
157-13-5295,0.0,0.0,0.0,545.37,0.0,0.0
160-22-2687,0.0,0.0,0.0,503.7375,0.0,0.0
162-48-8011,0.0,0.0,234.0975,0.0,0.0,0.0
162-65-8559,0.0,0.0,72.429,0.0,0.0,0.0
163-56-7055,0.0,51.1455,0.0,0.0,0.0,0.0
166-19-2553,0.0,0.0,0.0,0.0,0.0,561.078
169-52-4504,49.4235,0.0,0.0,0.0,0.0,0.0
172-42-8274,80.367,0.0,0.0,0.0,0.0,0.0
173-50-1108,0.0,0.0,0.0,0.0,0.0,84.756
173-57-2300,0.0,0.0,0.0,0.0,0.0,153.048
173-82-9529,0.0,398.475,0.0,0.0,0.0,0.0
174-36-3675,0.0,0.0,208.677,0.0,0.0,0.0
174-64-0215,0.0,0.0,0.0,0.0,0.0,732.27
174-75-0888,203.931,0.0,0.0,0.0,0.0,0.0
175-54-2529,0.0,0.0,186.228,0.0,0.0,0.0
176-64-7711,0.0,0.0,101.808,0.0,0.0,0.0
176-78-1170,0.0,0.0,0.0,106.5015,0.0,0.0
181-82-6255,0.0,0.0,0.0,0.0,103.131,0.0
181-94-6432,0.0,145.593,0.0,0.0,0.0,0.0
182-52-7000,0.0,0.0,0.0,0.0,0.0,113.568
182-69-8360,99.33,0.0,0.0,0.0,0.0,0.0
182-88-2763,0.0,0.0,251.7165,0.0,0.0,0.0
183-21-3799,733.6035,0.0,0.0,0.0,0.0,0.0
183-56-6882,0.0,0.0,417.564,0.0,0.0,0.0
186-09-3669,0.0,0.0,0.0,85.5855,0.0,0.0
186-43-8965,0.0,0.0,0.0,0.0,100.128,0.0
186-71-5196,0.0,0.0,167.034,0.0,0.0,0.0
186-79-9562,0.0,0.0,0.0,527.5095,0.0,0.0
187-83-5490,87.234,0.0,0.0,0.0,0.0,0.0
188-55-0967,0.0,0.0,0.0,697.935,0.0,0.0
189-08-9157,0.0,299.8485,0.0,0.0,0.0,0.0
189-17-4241,0.0,184.107,0.0,0.0,0.0,0.0
189-40-5216,708.3195,0.0,0.0,0.0,0.0,0.0
189-52-0236,731.6925,0.0,0.0,0.0,0.0,0.0
189-55-2313,0.0,652.89,0.0,0.0,0.0,0.0
189-98-2939,0.0,742.2975,0.0,0.0,0.0,0.0
190-14-3147,0.0,0.0,0.0,75.474,0.0,0.0
190-59-3964,0.0,0.0,247.59,0.0,0.0,0.0
191-10-6171,0.0,291.207,0.0,0.0,0.0,0.0
191-29-0321,0.0,207.585,0.0,0.0,0.0,0.0
192-98-7397,0.0,13.419,0.0,0.0,0.0,0.0
195-06-0432,0.0,0.0,0.0,0.0,255.1815,0.0
196-01-2849,0.0,539.343,0.0,0.0,0.0,0.0
197-77-7132,769.104,0.0,0.0,0.0,0.0,0.0
198-66-9832,0.0,151.284,0.0,0.0,0.0,0.0
198-84-7132,0.0,383.7645,0.0,0.0,0.0,0.0
199-75-8169,0.0,0.0,0.0,0.0,0.0,166.005
200-16-5952,0.0,0.0,137.865,0.0,0.0,0.0
200-40-6154,0.0,0.0,0.0,0.0,415.233,0.0
201-63-8275,0.0,0.0,0.0,0.0,0.0,499.7265
201-86-2184,193.011,0.0,0.0,0.0,0.0,0.0
207-73-1363,0.0,0.0,0.0,145.971,0.0,0.0
209-61-0206,0.0,0.0,0.0,0.0,225.2775,0.0
210-30-7976,0.0,93.744,0.0,0.0,0.0,0.0
210-57-1719,0.0,0.0,0.0,550.368,0.0,0.0
210-67-5886,0.0,0.0,0.0,309.3615,0.0,0.0
210-74-9613,0.0,408.492,0.0,0.0,0.0,0.0
211-05-0490,272.58,0.0,0.0,0.0,0.0,0.0
211-30-9270,0.0,0.0,0.0,91.4025,0.0,0.0
212-62-1842,0.0,0.0,367.038,0.0,0.0,0.0
213-32-1216,416.178,0.0,0.0,0.0,0.0,0.0
213-72-6612,0.0,0.0,90.825,0.0,0.0,0.0
214-17-6927,0.0,0.0,103.824,0.0,0.0,0.0
214-30-2776,181.0725,0.0,0.0,0.0,0.0,0.0
217-58-1179,0.0,0.0,0.0,0.0,263.13,0.0
218-59-9410,0.0,0.0,0.0,0.0,228.123,0.0
219-22-9386,0.0,0.0,0.0,0.0,0.0,944.622
219-61-4139,87.234,0.0,0.0,0.0,0.0,0.0
220-28-1851,0.0,0.0,0.0,0.0,72.933,0.0
220-68-6701,0.0,0.0,0.0,0.0,325.374,0.0
221-25-5073,0.0,0.0,313.572,0.0,0.0,0.0
222-42-0244,0.0,0.0,0.0,681.4395,0.0,0.0
225-32-0908,0.0,0.0,0.0,0.0,0.0,471.03
225-98-1496,0.0,85.113,0.0,0.0,0.0,0.0
226-31-3081,80.22,0.0,0.0,0.0,0.0,0.0
226-34-0034,57.876,0.0,0.0,0.0,0.0,0.0
226-71-3580,0.0,0.0,0.0,0.0,0.0,224.4375
227-03-5010,0.0,0.0,0.0,0.0,441.756,0.0
227-07-4446,820.365,0.0,0.0,0.0,0.0,0.0
227-50-3718,0.0,0.0,0.0,76.755,0.0,0.0
227-78-1148,0.0,535.374,0.0,0.0,0.0,0.0
228-96-1411,0.0,0.0,829.08,0.0,0.0,0.0
232-11-3025,0.0,0.0,0.0,0.0,0.0,827.085
232-16-2483,0.0,0.0,0.0,0.0,0.0,71.526
233-34-0817,103.782,0.0,0.0,0.0,0.0,0.0
233-67-5758,0.0,0.0,0.0,42.3675,0.0,0.0
234-03-4040,0.0,0.0,767.025,0.0,0.0,0.0
234-36-2483,0.0,0.0,0.0,362.817,0.0,0.0
234-65-2137,0.0,0.0,0.0,0.0,1003.59,0.0
235-06-8510,0.0,0.0,0.0,0.0,270.018,0.0
235-46-8343,0.0,0.0,290.43,0.0,0.0,0.0
236-27-1144,0.0,0.0,154.1295,0.0,0.0,0.0
236-86-3015,0.0,0.0,0.0,0.0,14.679,0.0
237-01-6122,0.0,0.0,0.0,0.0,763.4655,0.0
237-44-6163,88.704,0.0,0.0,0.0,0.0,0.0
238-45-6950,0.0,0.0,56.406,0.0,0.0,0.0
238-49-0436,0.0,0.0,0.0,272.664,0.0,0.0
239-10-7476,0.0,0.0,0.0,0.0,491.085,0.0
239-36-3640,285.705,0.0,0.0,0.0,0.0,0.0
239-48-4278,0.0,0.0,74.4555,0.0,0.0,0.0
241-11-2261,0.0,586.971,0.0,0.0,0.0,0.0
241-72-9525,0.0,0.0,0.0,0.0,0.0,545.055
241-96-5076,0.0,0.0,0.0,0.0,103.11,0.0
242-11-3142,0.0,175.917,0.0,0.0,0.0,0.0
242-55-6721,0.0,0.0,0.0,0.0,33.936,0.0
243-47-2663,118.251,0.0,0.0,0.0,0.0,0.0
243-55-8457,0.0,0.0,781.62,0.0,0.0,0.0
244-08-0162,0.0,0.0,0.0,359.205,0.0,0.0
246-11-3901,344.4,0.0,0.0,0.0,0.0,0.0
246-55-6923,0.0,0.0,0.0,0.0,338.2155,0.0
247-11-2470,0.0,93.744,0.0,0.0,0.0,0.0
249-42-3782,0.0,0.0,0.0,367.5525,0.0,0.0
250-17-5703,0.0,0.0,197.925,0.0,0.0,0.0
250-81-7186,104.6745,0.0,0.0,0.0,0.0,0.0
252-56-2699,0.0,0.0,453.495,0.0,0.0,0.0
253-12-6086,0.0,0.0,0.0,0.0,0.0,723.24
254-31-0042,203.175,0.0,0.0,0.0,0.0,0.0
256-08-8343,0.0,0.0,0.0,0.0,237.426,0.0
256-58-3609,0.0,96.579,0.0,0.0,0.0,0.0
257-60-7754,210.966,0.0,0.0,0.0,0.0,0.0
257-73-1380,0.0,0.0,0.0,0.0,0.0,348.306
258-69-7810,0.0,193.4625,0.0,0.0,0.0,0.0
258-92-7466,0.0,0.0,0.0,187.32,0.0,0.0
261-12-8671,0.0,128.016,0.0,0.0,0.0,0.0
262-47-2794,0.0,0.0,0.0,0.0,603.624,0.0
263-10-3913,0.0,463.428,0.0,0.0,0.0,0.0
263-12-5321,680.61,0.0,0.0,0.0,0.0,0.0
263-87-5680,0.0,0.0,0.0,0.0,299.565,0.0
266-20-6657,0.0,0.0,404.544,0.0,0.0,0.0
266-76-6436,0.0,0.0,121.59,0.0,0.0,0.0
267-62-7380,864.57,0.0,0.0,0.0,0.0,0.0
268-03-6164,0.0,0.0,0.0,100.9155,0.0,0.0
268-20-3585,0.0,0.0,0.0,130.8825,0.0,0.0
268-27-6179,0.0,474.348,0.0,0.0,0.0,0.0
269-04-5750,0.0,310.044,0.0,0.0,0.0,0.0
269-10-8440,0.0,0.0,0.0,390.7995,0.0,0.0
271-77-8740,0.0,0.0,0.0,0.0,0.0,184.086
271-88-8734,0.0,1020.705,0.0,0.0,0.0,0.0
272-27-9238,0.0,0.0,173.208,0.0,0.0,0.0
272-65-1806,575.316,0.0,0.0,0.0,0.0,0.0
273-16-6619,0.0,0.0,0.0,0.0,69.72,0.0
273-84-2164,63.2625,0.0,0.0,0.0,0.0,0.0
274-05-5470,0.0,0.0,308.574,0.0,0.0,0.0
275-28-0149,0.0,0.0,0.0,0.0,0.0,66.8745
276-54-0879,0.0,0.0,0.0,0.0,0.0,410.508
276-75-6884,0.0,0.0,0.0,216.4365,0.0,0.0
277-35-5865,0.0,0.0,935.2665,0.0,0.0,0.0
277-63-2961,0.0,0.0,0.0,0.0,0.0,77.6685
278-86-2735,0.0,0.0,164.871,0.0,0.0,0.0
278-97-7759,65.604,0.0,0.0,0.0,0.0,0.0
279-62-1445,0.0,13.167,0.0,0.0,0.0,0.0
279-74-2924,75.7785,0.0,0.0,0.0,0.0,0.0
280-17-4359,0.0,0.0,0.0,950.25,0.0,0.0
280-35-5823,0.0,0.0,0.0,0.0,91.056,0.0
282-35-2475,0.0,0.0,0.0,0.0,0.0,195.951
283-26-5248,0.0,0.0,1034.46,0.0,0.0,0.0
283-79-9594,0.0,0.0,356.5485,0.0,0.0,0.0
284-34-9626,0.0,0.0,0.0,0.0,242.676,0.0
284-54-4231,0.0,0.0,0.0,0.0,0.0,84.9765
285-68-5083,0.0,0.0,0.0,0.0,0.0,77.931
286-01-5402,0.0,0.0,0.0,0.0,0.0,295.6905
286-43-6208,0.0,0.0,829.71,0.0,0.0,0.0
286-62-6248,0.0,164.682,0.0,0.0,0.0,0.0
286-75-7818,0.0,145.068,0.0,0.0,0.0,0.0
287-21-9091,0.0,0.0,0.0,0.0,705.6315,0.0
287-83-1405,0.0,0.0,0.0,160.209,0.0,0.0
288-38-3758,0.0,267.3405,0.0,0.0,0.0,0.0
288-62-1085,0.0,202.335,0.0,0.0,0.0,0.0
289-15-7034,0.0,0.0,0.0,0.0,0.0,345.786
289-65-5721,0.0,170.877,0.0,0.0,0.0,0.0
290-68-2984,0.0,0.0,0.0,0.0,99.75,0.0
291-21-5991,0.0,0.0,0.0,321.7725,0.0,0.0
291-32-1427,0.0,115.185,0.0,0.0,0.0,0.0
291-55-6563,0.0,0.0,0.0,0.0,216.846,0.0
291-59-1384,63.315,0.0,0.0,0.0,0.0,0.0
296-11-7041,0.0,0.0,0.0,28.4235,0.0,0.0
299-29-0180,0.0,0.0,0.0,0.0,383.523,0.0
299-46-1805,0.0,0.0,0.0,0.0,0.0,590.436
300-71-4605,451.71,0.0,0.0,0.0,0.0,0.0
301-11-9629,0.0,0.0,0.0,0.0,0.0,140.385
301-81-8610,0.0,213.528,0.0,0.0,0.0,0.0
302-15-2162,0.0,0.0,0.0,293.139,0.0,0.0
303-96-2227,0.0,0.0,0.0,0.0,1022.49,0.0
305-03-2383,0.0,0.0,211.365,0.0,0.0,0.0
305-14-0245,0.0,0.0,0.0,0.0,793.716,0.0
305-18-3552,0.0,0.0,0.0,0.0,633.99,0.0
305-89-2768,0.0,0.0,0.0,0.0,68.985,0.0
307-04-2070,0.0,32.151,0.0,0.0,0.0,0.0
307-83-9164,0.0,0.0,0.0,0.0,252.042,0.0
307-85-2293,0.0,0.0,0.0,0.0,263.97,0.0
308-39-1707,0.0,12.6945,0.0,0.0,0.0,0.0
308-47-4913,0.0,0.0,0.0,0.0,0.0,548.73
308-81-0538,0.0,306.81,0.0,0.0,0.0,0.0
311-13-6971,0.0,0.0,0.0,0.0,0.0,335.895
313-66-9943,0.0,0.0,91.8225,0.0,0.0,0.0
314-23-4520,0.0,0.0,0.0,597.0405,0.0,0.0
315-22-5665,0.0,0.0,0.0,0.0,772.38,0.0
316-01-3952,0.0,0.0,284.9175,0.0,0.0,0.0
316-55-4634,0.0,0.0,420.2625,0.0,0.0,0.0
316-66-3011,0.0,0.0,450.1035,0.0,0.0,0.0
316-68-6352,0.0,0.0,76.356,0.0,0.0,0.0
318-12-0304,0.0,32.1405,0.0,0.0,0.0,0.0
318-68-5053,0.0,0.0,0.0,485.037,0.0,0.0
318-81-2368,48.51,0.0,0.0,0.0,0.0,0.0
319-50-3348,0.0,0.0,0.0,0.0,84.63,0.0
319-74-2561,298.116,0.0,0.0,0.0,0.0,0.0
320-32-8842,0.0,0.0,23.751,0.0,0.0,0.0
320-49-6392,31.752,0.0,0.0,0.0,0.0,0.0
320-85-2052,0.0,0.0,0.0,0.0,0.0,36.5505
321-49-7382,0.0,0.0,0.0,0.0,0.0,92.7255
322-02-2271,0.0,0.0,0.0,0.0,0.0,135.3555
324-41-6833,253.68,0.0,0.0,0.0,0.0,0.0
324-92-3863,43.869,0.0,0.0,0.0,0.0,0.0
325-77-6186,0.0,0.0,0.0,0.0,951.825,0.0
325-89-4209,0.0,0.0,92.295,0.0,0.0,0.0
325-90-8763,488.985,0.0,0.0,0.0,0.0,0.0
326-71-2155,0.0,0.0,0.0,0.0,0.0,310.59
326-78-5178,0.0,0.0,671.79,0.0,0.0,0.0
327-40-9673,0.0,0.0,0.0,0.0,0.0,457.38
329-62-1586,0.0,0.0,172.2105,0.0,0.0,0.0
333-23-2632,0.0,0.0,0.0,74.088,0.0,0.0
333-73-7901,0.0,0.0,0.0,461.328,0.0,0.0
334-64-2006,0.0,0.0,0.0,0.0,147.672,0.0
336-78-2147,0.0,0.0,0.0,0.0,536.844,0.0
338-65-2210,0.0,0.0,0.0,720.3,0.0,0.0
339-12-4827,0.0,77.658,0.0,0.0,0.0,0.0
339-18-7061,0.0,195.258,0.0,0.0,0.0,0.0
339-38-9982,0.0,125.706,0.0,0.0,0.0,0.0
339-96-8318,0.0,597.6285,0.0,0.0,0.0,0.0
340-21-9136,0.0,0.0,0.0,0.0,0.0,168.21
340-66-0321,152.712,0.0,0.0,0.0,0.0,0.0
342-65-4817,0.0,0.0,0.0,273.42,0.0,0.0
343-61-3544,0.0,0.0,0.0,0.0,0.0,280.035
343-75-9322,0.0,0.0,0.0,0.0,0.0,99.54
343-87-0864,0.0,0.0,0.0,79.674,0.0,0.0
345-08-4992,0.0,0.0,0.0,0.0,214.137,0.0
345-68-9016,0.0,0.0,0.0,0.0,0.0,266.028
346-12-3257,181.818,0.0,0.0,0.0,0.0,0.0
346-84-3103,69.405,0.0,0.0,0.0,0.0,0.0
347-34-2234,0.0,0.0,0.0,0.0,0.0,520.4115
347-56-2442,0.0,0.0,0.0,0.0,69.111,0.0
347-72-6115,0.0,0.0,0.0,0.0,0.0,666.939
349-97-8902,0.0,0.0,121.569,0.0,0.0,0.0
351-62-0822,0.0,60.816,0.0,0.0,0.0,0.0
354-25-5821,0.0,0.0,0.0,0.0,0.0,435.456
354-39-5160,0.0,0.0,0.0,0.0,216.846,0.0
355-34-6244,0.0,0.0,152.019,0.0,0.0,0.0
355-53-5943,433.692,0.0,0.0,0.0,0.0,0.0
356-44-8813,0.0,0.0,0.0,0.0,118.062,0.0
358-88-9262,0.0,0.0,551.124,0.0,0.0,0.0
359-90-3665,0.0,75.936,0.0,0.0,0.0,0.0
359-94-5395,0.0,0.0,0.0,97.419,0.0,0.0
360-39-5055,0.0,0.0,0.0,0.0,0.0,256.7775
361-59-0574,0.0,0.0,0.0,0.0,0.0,760.452
361-85-2571,0.0,0.0,0.0,0.0,0.0,469.77
362-58-8315,0.0,401.73,0.0,0.0,0.0,0.0
364-33-8584,0.0,0.0,92.5575,0.0,0.0,0.0
364-34-2972,304.983,0.0,0.0,0.0,0.0,0.0
365-16-4334,0.0,0.0,222.012,0.0,0.0,0.0
365-64-0515,246.4875,0.0,0.0,0.0,0.0,0.0
366-43-6862,222.138,0.0,0.0,0.0,0.0,0.0
366-93-0948,69.6675,0.0,0.0,0.0,0.0,0.0
369-82-2676,397.215,0.0,0.0,0.0,0.0,0.0
370-41-7321,0.0,0.0,0.0,535.7205,0.0,0.0
370-96-0655,0.0,310.716,0.0,0.0,0.0,0.0
371-85-5789,0.0,0.0,0.0,277.137,0.0,0.0
372-26-1506,0.0,125.055,0.0,0.0,0.0,0.0
372-62-5264,0.0,0.0,497.07,0.0,0.0,0.0
372-94-8041,0.0,0.0,0.0,96.138,0.0,0.0
373-09-4567,0.0,0.0,814.38,0.0,0.0,0.0
373-14-0504,0.0,0.0,0.0,0.0,0.0,150.423
373-73-7910,0.0,0.0,0.0,0.0,0.0,634.3785
373-88-1424,0.0,0.0,0.0,0.0,188.0025,0.0
374-17-3652,0.0,0.0,404.649,0.0,0.0,0.0
374-38-5555,0.0,334.4775,0.0,0.0,0.0,0.0
375-72-3056,0.0,0.0,0.0,0.0,0.0,198.639
376-02-8238,0.0,0.0,0.0,0.0,788.508,0.0
376-56-3573,0.0,400.764,0.0,0.0,0.0,0.0
377-79-7592,423.738,0.0,0.0,0.0,0.0,0.0
378-07-7001,151.4835,0.0,0.0,0.0,0.0,0.0
378-24-2715,0.0,0.0,0.0,0.0,112.224,0.0
379-17-6588,0.0,625.905,0.0,0.0,0.0,0.0
380-60-5336,422.73,0.0,0.0,0.0,0.0,0.0
380-94-4661,276.948,0.0,0.0,0.0,0.0,0.0
381-20-0914,0.0,189.0945,0.0,0.0,0.0,0.0
382-03-4532,0.0,0.0,0.0,19.2465,0.0,0.0
382-25-8917,0.0,265.104,0.0,0.0,0.0,0.0
384-59-6655,0.0,0.0,932.337,0.0,0.0,0.0
386-27-7606,0.0,0.0,0.0,0.0,596.82,0.0
387-49-4215,0.0,0.0,0.0,0.0,0.0,152.775
388-76-2555,0.0,0.0,0.0,0.0,0.0,86.247
389-25-3394,62.0025,0.0,0.0,0.0,0.0,0.0
389-70-2397,0.0,0.0,0.0,439.215,0.0,0.0
390-17-5806,0.0,0.0,40.341,0.0,0.0,0.0
390-31-6381,0.0,0.0,85.743,0.0,0.0,0.0
390-80-5128,0.0,0.0,0.0,20.1075,0.0,0.0
393-65-2792,0.0,0.0,939.54,0.0,0.0,0.0
394-30-3170,0.0,0.0,0.0,0.0,0.0,742.812
394-41-0748,0.0,510.9615,0.0,0.0,0.0,0.0
394-43-4238,0.0,0.0,0.0,0.0,93.2925,0.0
394-55-6384,0.0,0.0,0.0,0.0,0.0,663.2955
396-90-2219,125.664,0.0,0.0,0.0,0.0,0.0
397-25-8725,0.0,0.0,0.0,374.409,0.0,0.0
399-46-5918,722.232,0.0,0.0,0.0,0.0,0.0
399-69-4630,139.923,0.0,0.0,0.0,0.0,0.0
400-45-1220,0.0,0.0,0.0,141.75,0.0,0.0
400-60-7251,0.0,0.0,0.0,0.0,77.7735,0.0
400-80-4065,0.0,0.0,0.0,287.91,0.0,0.0
400-89-4171,0.0,0.0,0.0,0.0,0.0,680.148
401-09-4232,0.0,0.0,0.0,0.0,455.1225,0.0
401-18-8016,0.0,0.0,0.0,0.0,0.0,103.0365
404-91-5964,548.163,0.0,0.0,0.0,0.0,0.0
405-31-3305,0.0,452.865,0.0,0.0,0.0,0.0
406-46-7107,0.0,0.0,0.0,0.0,608.076,0.0
407-63-8975,0.0,0.0,465.444,0.0,0.0,0.0
408-26-9866,0.0,0.0,0.0,0.0,0.0,543.753
408-66-6712,0.0,0.0,0.0,300.573,0.0,0.0
409-33-9708,0.0,206.808,0.0,0.0,0.0,0.0
409-49-6995,0.0,0.0,297.801,0.0,0.0,0.0
410-67-1709,0.0,536.592,0.0,0.0,0.0,0.0
411-77-0180,530.67,0.0,0.0,0.0,0.0,0.0
413-20-6708,0.0,54.0435,0.0,0.0,0.0,0.0
414-12-7047,0.0,0.0,166.236,0.0,0.0,0.0
416-13-5917,0.0,0.0,509.4075,0.0,0.0,0.0
416-17-9926,779.31,0.0,0.0,0.0,0.0,0.0
418-02-5978,0.0,0.0,0.0,794.6505,0.0,0.0
418-05-0656,0.0,187.866,0.0,0.0,0.0,0.0
420-04-7590,0.0,0.0,0.0,0.0,314.055,0.0
420-11-4919,0.0,0.0,374.7975,0.0,0.0,0.0
420-18-8989,0.0,0.0,0.0,0.0,0.0,432.768
420-97-3340,0.0,0.0,225.792,0.0,0.0,0.0
421-95-9805,30.408,0.0,0.0,0.0,0.0,0.0
422-29-8786,0.0,0.0,0.0,0.0,352.2225,0.0
423-57-2993,0.0,0.0,0.0,0.0,0.0,588.357
423-64-4619,0.0,0.0,0.0,146.9475,0.0,0.0
423-80-0988,0.0,0.0,0.0,0.0,0.0,160.44
425-85-2085,0.0,0.0,0.0,288.015,0.0,0.0
426-39-2418,451.3635,0.0,0.0,0.0,0.0,0.0
427-45-9297,0.0,0.0,0.0,0.0,299.3655,0.0
428-83-5800,0.0,0.0,66.402,0.0,0.0,0.0
430-02-3888,289.926,0.0,0.0,0.0,0.0,0.0
430-53-4718,0.0,0.0,0.0,633.108,0.0,0.0
430-60-3493,0.0,0.0,0.0,0.0,697.368,0.0
431-66-2305,833.9625,0.0,0.0,0.0,0.0,0.0
433-08-7822,0.0,0.0,0.0,579.8415,0.0,0.0
433-75-6987,0.0,0.0,0.0,411.3795,0.0,0.0
434-35-9162,0.0,0.0,98.028,0.0,0.0,0.0
434-83-9547,0.0,0.0,323.148,0.0,0.0,0.0
435-13-4908,0.0,728.112,0.0,0.0,0.0,0.0
436-54-4512,0.0,0.0,96.1905,0.0,0.0,0.0
437-53-3084,0.0,209.769,0.0,0.0,0.0,0.0
437-58-8131,0.0,154.392,0.0,0.0,0.0,0.0
438-01-4015,0.0,0.0,0.0,0.0,0.0,207.858
438-23-1242,557.718,0.0,0.0,0.0,0.0,0.0
439-54-7422,214.998,0.0,0.0,0.0,0.0,0.0
440-59-5691,0.0,0.0,0.0,273.0525,0.0,0.0
441-94-7118,75.5475,0.0,0.0,0.0,0.0,0.0
442-44-6497,0.0,0.0,0.0,0.0,175.0455,0.0
442-48-3607,0.0,0.0,49.308,0.0,0.0,0.0
443-59-0061,0.0,0.0,708.225,0.0,0.0,0.0
443-60-9639,0.0,0.0,0.0,0.0,63.9135,0.0
443-82-0585,0.0,0.0,0.0,326.256,0.0,0.0
445-30-9252,0.0,0.0,0.0,0.0,0.0,80.955
446-47-6729,0.0,209.622,0.0,0.0,0.0,0.0
447-15-7839,0.0,0.0,0.0,0.0,0.0,233.52
448-34-8700,0.0,0.0,0.0,0.0,271.2885,0.0
448-61-3783,756.168,0.0,0.0,0.0,0.0,0.0
448-81-5016,0.0,0.0,0.0,125.517,0.0,0.0
449-16-6770,0.0,0.0,0.0,266.6475,0.0,0.0
449-27-2918,0.0,0.0,0.0,0.0,0.0,41.076
450-28-2866,0.0,0.0,91.56,0.0,0.0,0.0
450-42-3339,0.0,0.0,0.0,888.405,0.0,0.0
451-28-5717,0.0,0.0,0.0,0.0,523.971,0.0
451-73-2711,0.0,0.0,89.0715,0.0,0.0,0.0
452-04-8808,640.038,0.0,0.0,0.0,0.0,0.0
453-12-7053,0.0,144.081,0.0,0.0,0.0,0.0
