Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,Recency,Frequency,Monetary_Value
779-06-0012,Faisalabad,0,0,4,Rs. 88.61,1,4.4305,Rs. 93.0405,2019-01-19,10:21,Cash on Delivery,88.61,4.761904762,4.4305,7.7,2019,1,19,2241,1,93.0405
376-56-3573,Faisalabad,1,0,1,Rs. 95.42,4,19.084,Rs. 400.764,2019-02-02,13:23,Easypaisa,381.68,4.761904762,19.084,6.4,2019,2,2,2227,1,400.764
457-12-0244,Faisalabad,0,0,5,Rs. 35.22,6,10.566,Rs. 221.886,2019-03-14,13:49,Easypaisa,211.32,4.761904762,10.566,6.5,2019,3,14,2187,1,221.886
881-41-7302,Faisalabad,1,0,1,Rs. 64.99,1,3.2495,Rs. 68.2395,2019-01-26,10:06,Credit card,64.99,4.761904762,3.2495,4.5,2019,1,26,2234,1,68.2395
810-60-6344,Faisalabad,1,0,0,Rs. 40.86,8,16.344,Rs. 343.224,2019-07-02,14:38,Credit card,326.88,4.761904762,16.344,6.5,2019,7,2,2077,1,343.224
670-71-7306,Lahore,1,1,5,Rs. 44.63,6,13.389,Rs. 281.169,2019-02-01,20:08,Credit card,267.78,4.761904762,13.389,5.1,2019,2,1,2228,1,281.169
834-83-1826,Lahore,0,0,4,Rs. 82.04,5,20.51,Rs. 430.71,2019-02-25,17:16,Credit card,410.2,4.761904762,20.51,7.6,2019,2,25,2204,1,430.71
761-49-0439,Lahore,0,0,0,Rs. 12.1,8,4.84,Rs. 101.64,2019-01-19,10:17,Easypaisa,96.8,4.761904762,4.84,8.6,2019,1,19,2241,1,101.64
821-07-3596,Faisalabad,1,0,1,Rs. 16.45,4,3.29,Rs. 69.09,2019-07-03,14:53,Easypaisa,65.8,4.761904762,3.29,5.6,2019,7,3,2076,1,69.09
797-88-0493,Lahore,1,0,3,Rs. 64.27,4,12.854,Rs. 269.934,2019-03-26,13:54,Cash on Delivery,257.08,4.761904762,12.854,7.7,2019,3,26,2175,1,269.934
636-48-8204,Lahore,1,1,0,Rs. 34.56,5,8.64,Rs. 181.44,2019-02-17,11:15,Easypaisa,172.8,4.761904762,8.64,9.9,2019,2,17,2212,1,181.44
871-79-8483,Lahore,1,1,1,Rs. 94.13,5,23.5325,Rs. 494.1825,2019-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,2019,2,25,2204,1,494.1825
840-19-2096,Faisalabad,0,1,0,Rs. 87.91,5,21.9775,Rs. 461.5275,2019-03-14,18:10,Easypaisa,439.55,4.761904762,21.9775,4.4,2019,3,14,2187,1,461.5275
351-62-0822,Lahore,0,0,1,Rs. 14.48,4,2.896,Rs. 60.816,2019-06-02,18:07,Easypaisa,57.92,4.761904762,2.896,4.5,2019,6,2,2107,1,60.816
468-01-2051,Lahore,1,1,2,Rs. 62.08,7,21.728,Rs. 456.288,2019-06-03,13:46,Easypaisa,434.56,4.761904762,21.728,5.4,2019,6,3,2106,1,456.288
366-43-6862,Lahore,1,1,0,Rs. 52.89,4,10.578,Rs. 222.138,2019-03-25,16:32,Easypaisa,211.56,4.761904762,10.578,6.7,2019,3,25,2176,1,222.138
727-75-6477,Faisalabad,1,1,0,Rs. 28.84,4,5.768,Rs. 121.128,2019-03-29,14:44,Cash on Delivery,115.36,4.761904762,5.768,6.4,2019,3,29,2172,1,121.128
242-55-6721,Lahore,1,1,4,Rs. 16.16,2,1.616,Rs. 33.936,2019-07-03,11:49,Easypaisa,32.32,4.761904762,1.616,6.5,2019,7,3,2076,1,33.936
173-50-1108,Lahore,0,0,5,Rs. 20.18,4,4.036,Rs. 84.756,2019-02-13,12:14,Credit card,80.72,4.761904762,4.036,5.0,2019,2,13,2216,1,84.756
817-69-8206,Lahore,1,0,0,Rs. 99.73,9,44.8785,Rs. 942.4485,2019-02-03,19:42,Credit card,897.57,4.761904762,44.8785,6.5,2019,2,3,2226,1,942.4485
484-22-8230,Faisalabad,0,0,1,Rs. 51.89,7,18.1615,Rs. 381.3915,2019-08-01,20:08,Cash on Delivery,363.23,4.761904762,18.1615,4.5,2019,8,1,2047,1,381.3915
689-05-1884,Lahore,0,1,3,Rs. 48.63,10,24.315,Rs. 510.615,2019-04-03,12:44,Cash on Delivery,486.3,4.761904762,24.315,8.8,2019,4,3,2167,1,510.615
725-67-2480,Lahore,0,0,1,Rs. 58.75,6,17.625,Rs. 370.125,2019-03-24,18:14,Credit card,352.5,4.761904762,17.625,5.9,2019,3,24,2177,1,370.125
361-59-0574,Lahore,0,1,5,Rs. 90.53,8,36.212,Rs. 760.452,2019-03-15,14:48,Credit card,724.24,4.761904762,36.212,6.5,2019,3,15,2186,1,760.452
393-65-2792,Faisalabad,1,1,2,Rs. 89.48,10,44.74,Rs. 939.54,2019-06-01,12:46,Credit card,894.8,4.761904762,44.74,9.6,2019,6,1,2108,1,939.54
243-47-2663,Faisalabad,0,1,0,Rs. 18.77,6,5.631,Rs. 118.251,2019-01-28,16:43,Credit card,112.62,4.761904762,5.631,5.5,2019,1,28,2232,1,118.251
630-74-5166,Lahore,1,1,5,Rs. 62.13,6,18.639,Rs. 391.419,2019-03-22,20:19,Cash on Delivery,372.78,4.761904762,18.639,7.4,2019,3,22,2179,1,391.419
148-82-2527,Faisalabad,0,0,4,Rs. 12.12,10,6.06,Rs. 127.26,2019-05-03,13:44,Credit card,121.2,4.761904762,6.06,8.4,2019,5,3,2137,1,127.26
302-15-2162,Faisalabad,0,1,3,Rs. 46.53,6,13.959,Rs. 293.139,2019-03-03,10:54,Credit card,279.18,4.761904762,13.959,4.3,2019,3,3,2198,1,293.139
451-73-2711,Faisalabad,1,1,2,Rs. 84.83,1,4.2415,Rs. 89.0715,2019-01-14,15:20,Easypaisa,84.83,4.761904762,4.2415,8.8,2019,1,14,2246,1,89.0715
278-97-7759,Lahore,0,0,0,Rs. 62.48,1,3.124,Rs. 65.604,2019-02-18,20:29,Cash on Delivery,62.48,4.761904762,3.124,4.7,2019,2,18,2211,1,65.604
430-60-3493,Lahore,0,0,4,Rs. 94.88,7,33.208,Rs. 697.368,2019-03-02,14:38,Cash on Delivery,664.16,4.761904762,33.208,4.2,2019,3,2,2199,1,697.368
742-04-5161,Lahore,0,1,4,Rs. 72.78,10,36.39,Rs. 764.19,2019-03-02,17:24,Cash on Delivery,727.8,4.761904762,36.39,7.3,2019,3,2,2199,1,764.19
777-82-7220,Lahore,0,1,4,Rs. 30.12,8,12.048,Rs. 253.008,2019-03-03,13:01,Cash on Delivery,240.96,4.761904762,12.048,7.7,2019,3,3,2198,1,253.008
227-50-3718,Lahore,1,1,3,Rs. 14.62,5,3.655,Rs. 76.755,2019-04-03,12:23,Cash on Delivery,73.1,4.761904762,3.655,4.4,2019,4,3,2167,1,76.755
803-17-8013,Lahore,0,0,4,Rs. 88.79,8,35.516,Rs. 745.836,2019-02-17,17:09,Cash on Delivery,710.32,4.761904762,35.516,4.1,2019,2,17,2212,1,745.836
130-67-4723,Lahore,0,1,2,Rs. 48.5,6,14.55,Rs. 305.55,2019-11-01,13:57,Easypaisa,291.0,4.761904762,14.55,9.4,2019,11,1,1955,1,305.55
838-78-4295,Faisalabad,1,0,3,Rs. 33.47,2,3.347,Rs. 70.287,2019-10-02,15:43,Easypaisa,66.94,4.761904762,3.347,6.7,2019,10,2,1985,1,70.287
566-19-5475,Lahore,1,1,1,Rs. 47.97,7,16.7895,Rs. 352.5795,2019-07-01,20:52,Cash on Delivery,335.79,4.761904762,16.7895,6.2,2019,7,1,2078,1,352.5795
109-28-2512,Lahore,0,0,1,Rs. 97.61,6,29.283,Rs. 614.943,2019-07-01,15:01,Easypaisa,585.66,4.761904762,29.283,9.9,2019,7,1,2078,1,614.943
704-20-4138,Faisalabad,0,0,3,Rs. 29.67,7,10.3845,Rs. 218.0745,2019-11-03,18:58,Credit card,207.69,4.761904762,10.3845,8.1,2019,11,3,1953,1,218.0745
539-21-7227,Lahore,1,0,5,Rs. 51.54,5,12.885,Rs. 270.585,2019-01-26,17:45,Cash on Delivery,257.7,4.761904762,12.885,4.2,2019,1,26,2234,1,270.585
347-56-2442,Lahore,1,1,4,Rs. 65.82,1,3.291,Rs. 69.111,2019-02-22,15:33,Cash on Delivery,65.82,4.761904762,3.291,4.1,2019,2,22,2207,1,69.111
735-32-9839,Faisalabad,0,1,1,Rs. 98.7,8,39.48,Rs. 829.08,2019-01-31,10:36,Easypaisa,789.6,4.761904762,39.48,8.5,2019,1,31,2229,1,829.08
775-72-1988,Lahore,1,1,4,Rs. 73.28,5,18.32,Rs. 384.72,2019-01-24,15:05,Easypaisa,366.4,4.761904762,18.32,8.4,2019,1,24,2236,1,384.72
719-76-3868,Faisalabad,0,1,2,Rs. 94.26,4,18.852,Rs. 395.892,2019-12-03,16:30,Cash on Delivery,377.04,4.761904762,18.852,8.6,2019,12,3,1923,1,395.892
868-52-7573,Lahore,1,0,2,Rs. 99.69,5,24.9225,Rs. 523.3725,2019-01-14,12:09,Cash on Delivery,498.45,4.761904762,24.9225,9.9,2019,1,14,2246,1,523.3725
744-09-5786,Lahore,1,1,0,Rs. 22.01,6,6.603,Rs. 138.663,2019-02-01,18:50,Cash on Delivery,132.06,4.761904762,6.603,7.6,2019,2,1,2228,1,138.663
609-81-8548,Lahore,0,0,4,Rs. 37.44,6,11.232,Rs. 235.872,2019-06-02,13:55,Credit card,224.64,4.761904762,11.232,5.9,2019,6,2,2107,1,235.872
549-03-9315,Lahore,1,1,1,Rs. 94.87,8,37.948,Rs. 796.908,2019-12-02,12:58,Easypaisa,758.96,4.761904762,37.948,8.7,2019,12,2,1924,1,796.908
790-38-4466,Faisalabad,1,0,3,Rs. 10.99,5,2.7475,Rs. 57.6975,2019-01-23,10:18,Credit card,54.95,4.761904762,2.7475,9.3,2019,1,23,2237,1,57.6975
257-73-1380,Faisalabad,0,1,5,Rs. 82.93,4,16.586,Rs. 348.306,2019-01-20,16:51,Easypaisa,331.72,4.761904762,16.586,9.6,2019,1,20,2240,1,348.306
787-87-2010,Lahore,0,1,3,Rs. 55.5,4,11.1,Rs. 233.1,2019-01-20,15:48,Credit card,222.0,4.761904762,11.1,6.6,2019,1,20,2240,1,233.1
504-35-8843,Lahore,1,1,5,Rs. 42.47,1,2.1235,Rs. 44.5935,2019-02-01,16:57,Cash on Delivery,42.47,4.761904762,2.1235,5.7,2019,2,1,2228,1,44.5935
199-75-8169,Lahore,0,1,5,Rs. 15.81,10,7.905,Rs. 166.005,2019-06-03,12:27,Credit card,158.1,4.761904762,7.905,8.6,2019,6,3,2106,1,166.005
222-42-0244,Lahore,0,0,3,Rs. 72.11,9,32.4495,Rs. 681.4395,2019-01-28,13:53,Credit card,648.99,4.761904762,32.4495,7.7,2019,1,28,2232,1,681.4395
857-16-3520,Lahore,0,0,1,Rs. 71.46,7,25.011,Rs. 525.231,2019-03-28,16:06,Easypaisa,500.22,4.761904762,25.011,4.5,2019,3,28,2173,1,525.231
834-61-8124,Lahore,1,1,0,Rs. 51.69,7,18.0915,Rs. 379.9215,2019-01-26,18:22,Cash on Delivery,361.83,4.761904762,18.0915,5.5,2019,1,26,2234,1,379.9215
433-08-7822,Faisalabad,1,0,3,Rs. 78.89,7,27.6115,Rs. 579.8415,2019-05-01,19:48,Easypaisa,552.23,4.761904762,27.6115,7.5,2019,5,1,2139,1,579.8415
366-93-0948,Lahore,0,1,0,Rs. 66.35,1,3.3175,Rs. 69.6675,2019-01-31,10:46,Credit card,66.35,4.761904762,3.3175,9.7,2019,1,31,2229,1,69.6675
188-55-0967,Lahore,0,1,3,Rs. 66.47,10,33.235,Rs. 697.935,2019-01-15,15:01,Credit card,664.7,4.761904762,33.235,5.0,2019,1,15,2245,1,697.935
273-84-2164,Faisalabad,0,1,0,Rs. 12.05,5,3.0125,Rs. 63.2625,2019-02-16,15:53,Easypaisa,60.25,4.761904762,3.0125,5.5,2019,2,16,2213,1,63.2625
134-75-2619,Lahore,0,1,0,Rs. 19.32,7,6.762,Rs. 142.002,2019-03-25,18:51,Cash on Delivery,135.24,4.761904762,6.762,6.9,2019,3,25,2176,1,142.002
384-59-6655,Lahore,0,0,2,Rs. 98.66,9,44.397,Rs. 932.337,2019-02-19,15:07,Cash on Delivery,887.94,4.761904762,44.397,8.4,2019,2,19,2210,1,932.337
796-32-9050,Lahore,1,1,2,Rs. 51.28,6,15.384,Rs. 323.064,2019-01-19,16:31,Cash on Delivery,307.68,4.761904762,15.384,6.5,2019,1,19,2241,1,323.064
749-81-8133,Lahore,1,0,1,Rs. 94.67,4,18.934,Rs. 397.614,2019-11-03,12:04,Cash on Delivery,378.68,4.761904762,18.934,6.8,2019,11,3,1953,1,397.614
827-44-5872,Lahore,0,0,2,Rs. 54.36,10,27.18,Rs. 570.78,2019-07-02,11:28,Credit card,543.6,4.761904762,27.18,6.1,2019,7,2,2077,1,570.78
276-75-6884,Lahore,1,0,3,Rs. 68.71,3,10.3065,Rs. 216.4365,2019-04-03,10:05,Cash on Delivery,206.13,4.761904762,10.3065,8.7,2019,4,3,2167,1,216.4365
374-38-5555,Lahore,1,0,1,Rs. 63.71,5,15.9275,Rs. 334.4775,2019-07-02,19:30,Easypaisa,318.55,4.761904762,15.9275,8.5,2019,7,2,2077,1,334.4775
477-59-2456,Faisalabad,1,0,1,Rs. 45.44,7,15.904,Rs. 333.984,2019-01-23,11:15,Cash on Delivery,318.08,4.761904762,15.904,9.2,2019,1,23,2237,1,333.984
362-58-8315,Faisalabad,1,1,1,Rs. 76.52,5,19.13,Rs. 401.73,2019-03-25,10:23,Cash on Delivery,382.6,4.761904762,19.13,9.9,2019,3,25,2176,1,401.73
459-50-7686,Lahore,1,0,0,Rs. 23.46,6,7.038,Rs. 147.798,2019-01-13,19:14,Easypaisa,140.76,4.761904762,7.038,6.4,2019,1,13,2247,1,147.798
586-25-0848,Lahore,1,0,5,Rs. 12.34,7,4.319,Rs. 90.699,2019-04-03,11:19,Credit card,86.38,4.761904762,4.319,6.7,2019,4,3,2167,1,90.699
156-20-0370,Lahore,1,0,0,Rs. 25.45,1,1.2725,Rs. 26.7225,2019-10-03,18:10,Credit card,25.45,4.761904762,1.2725,5.1,2019,10,3,1984,1,26.7225
892-05-6689,Lahore,1,0,4,Rs. 28.32,5,7.08,Rs. 148.68,2019-11-03,13:28,Easypaisa,141.6,4.761904762,7.08,6.2,2019,11,3,1953,1,148.68
585-03-5943,Lahore,1,1,3,Rs. 18.11,10,9.055,Rs. 190.155,2019-03-13,11:46,Easypaisa,181.1,4.761904762,9.055,5.9,2019,3,13,2188,1,190.155
607-76-6216,Faisalabad,0,0,1,Rs. 92.49,5,23.1225,Rs. 485.5725,2019-02-03,16:35,Credit card,462.45,4.761904762,23.1225,8.6,2019,2,3,2226,1,485.5725
198-84-7132,Lahore,0,1,1,Rs. 40.61,9,18.2745,Rs. 383.7645,2019-02-01,13:40,Cash on Delivery,365.49,4.761904762,18.2745,7.0,2019,2,1,2228,1,383.7645
268-20-3585,Faisalabad,1,0,3,Rs. 13.85,9,6.2325,Rs. 130.8825,2019-04-02,12:50,Easypaisa,124.65,4.761904762,6.2325,6.0,2019,4,2,2168,1,130.8825
850-41-9669,Lahore,1,0,0,Rs. 75.06,9,33.777,Rs. 709.317,2019-03-19,13:25,Easypaisa,675.54,4.761904762,33.777,6.2,2019,3,19,2182,1,709.317
755-12-3214,Faisalabad,0,0,1,Rs. 44.22,5,11.055,Rs. 232.155,2019-05-03,17:07,Credit card,221.1,4.761904762,11.055,8.6,2019,5,3,2137,1,232.155
218-59-9410,Lahore,0,0,4,Rs. 72.42,3,10.863,Rs. 228.123,2019-03-29,16:54,Easypaisa,217.26,4.761904762,10.863,8.2,2019,3,29,2172,1,228.123
359-90-3665,Lahore,0,0,1,Rs. 18.08,4,3.616,Rs. 75.936,2019-01-14,18:03,Credit card,72.32,4.761904762,3.616,9.5,2019,1,14,2246,1,75.936
390-80-5128,Lahore,0,0,3,Rs. 19.15,1,0.9575,Rs. 20.1075,2019-01-28,17:58,Credit card,19.15,4.761904762,0.9575,9.5,2019,1,28,2232,1,20.1075
101-81-4070,Faisalabad,0,0,3,Rs. 62.82,2,6.282,Rs. 131.922,2019-01-17,12:36,Easypaisa,125.64,4.761904762,6.282,4.9,2019,1,17,2243,1,131.922
751-15-6198,Lahore,1,1,5,Rs. 23.01,6,6.903,Rs. 144.963,2019-12-01,16:45,Easypaisa,138.06,4.761904762,6.903,7.9,2019,12,1,1925,1,144.963
334-64-2006,Lahore,0,0,4,Rs. 70.32,2,7.032,Rs. 147.672,2019-03-24,14:22,Easypaisa,140.64,4.761904762,7.032,9.6,2019,3,24,2177,1,147.672
125-45-2293,Lahore,1,0,1,Rs. 99.1,6,29.73,Rs. 624.33,2019-01-19,13:11,Cash on Delivery,594.6,4.761904762,29.73,4.2,2019,1,19,2241,1,624.33
253-12-6086,Lahore,0,0,5,Rs. 98.4,7,34.44,Rs. 723.24,2019-12-03,12:43,Credit card,688.8,4.761904762,34.44,8.7,2019,12,3,1923,1,723.24
233-67-5758,Faisalabad,1,1,3,Rs. 40.35,1,2.0175,Rs. 42.3675,2019-01-29,13:46,Easypaisa,40.35,4.761904762,2.0175,6.2,2019,1,29,2231,1,42.3675
827-77-7633,Lahore,1,1,5,Rs. 98.09,9,44.1405,Rs. 926.9505,2019-02-17,19:41,Cash on Delivery,882.81,4.761904762,44.1405,9.3,2019,2,17,2212,1,926.9505
399-46-5918,Faisalabad,1,0,0,Rs. 85.98,8,34.392,Rs. 722.232,2019-02-28,19:01,Cash on Delivery,687.84,4.761904762,34.392,8.2,2019,2,28,2201,1,722.232
638-60-7125,Lahore,1,0,0,Rs. 99.56,8,39.824,Rs. 836.304,2019-02-14,17:03,Credit card,796.48,4.761904762,39.824,5.2,2019,2,14,2215,1,836.304
802-43-8934,Lahore,1,1,4,Rs. 18.28,1,0.914,Rs. 19.194,2019-03-22,15:05,Credit card,18.28,4.761904762,0.914,8.3,2019,3,22,2179,1,19.194
227-03-5010,Lahore,0,0,4,Rs. 52.59,8,21.036,Rs. 441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,2019,3,22,2179,1,441.756
510-95-6347,Lahore,0,0,2,Rs. 48.52,3,7.278,Rs. 152.838,2019-05-03,18:17,Easypaisa,145.56,4.761904762,7.278,4.0,2019,5,3,2137,1,152.838
617-15-4209,Faisalabad,0,1,3,Rs. 15.37,2,1.537,Rs. 32.277,2019-03-16,19:47,Cash on Delivery,30.74,4.761904762,1.537,7.2,2019,3,16,2185,1,32.277
604-70-6476,Lahore,0,1,1,Rs. 17.94,5,4.485,Rs. 94.185,2019-01-23,14:04,Easypaisa,89.7,4.761904762,4.485,6.8,2019,1,23,2237,1,94.185
678-79-0726,Faisalabad,0,0,5,Rs. 90.63,9,40.7835,Rs. 856.4535,2019-01-18,15:28,Cash on Delivery,815.67,4.761904762,40.7835,5.1,2019,1,18,2242,1,856.4535
523-38-0215,Faisalabad,1,1,4,Rs. 37.0,1,1.85,Rs. 38.85,2019-06-03,13:29,Credit card,37.0,4.761904762,1.85,7.9,2019,6,3,2106,1,38.85
